unique_game_id,DATE,Home Team,Away Team,HOME_PRIOR_WIN_V_OPP,AWAY_PRIOR_WIN_V_OPP,HOME_IP_AVAIL,AWAY_IP_AVAIL,Home Odds Open,Home Odds Close,Away Odds Open,Away Odds Close,Home Relative Age Diff,Home All Stars,Away All Stars,Away Underdog,Underdog Win,Home FG,Home FGA,Home FG%,Home 3P,Home 3PA,Home 3P%,Home FT,Home FTA,Home FT%,Home ORB,Home DRB,Home TRB,Home AST,Home STL,Home BLK,Home TOV,Home PF,Home PTS,Home TS%,Home eFG%,Home 3PAr,Home FTr,Home ORB%,Home DRB%,Home TRB%,Home AST%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away FG,Away FGA,Away FG%,Away 3P,Away 3PA,Away 3P%,Away FT,Away FTA,Away FT%,Away ORB,Away DRB,Away TRB,Away AST,Away STL,Away BLK,Away TOV,Away PF,Away PTS,Away TS%,Away eFG%,Away 3PAr,Away FTr,Away ORB%,Away DRB%,Away TRB%,Away AST%,Away STL%,Away BLK%,Away TOV%,Away ORtg,Away DRtg,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2008-10-28_Boston Celtics_Cleveland Cavaliers,2008-10-28,Boston Celtics,Cleveland Cavaliers,0.0,0.0,1.0,1.0,1.32,1.36,3.4,3.15,1.0,4.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2008-10-28_Chicago Bulls_Milwaukee Bucks,2008-10-28,Chicago Bulls,Milwaukee Bucks,0.0,0.0,0.7142857142857143,0.8571428571428571,,1.36,3.15,3.2,-4.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2008-10-28_Los Angeles Lakers_Portland Trail Blazers,2008-10-28,Los Angeles Lakers,Portland Trail Blazers,0.0,0.0,1.0,1.0,,1.27,3.75,3.85,3.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2008-10-29_Detroit Pistons_Indiana Pacers,2008-10-29,Detroit Pistons,Indiana Pacers,0.0,0.0,0.8571428571428571,0.8571428571428571,,1.13,,5.75,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2008-10-29_Golden State Warriors_New Orleans Pelicans,2008-10-29,Golden State Warriors,New Orleans Pelicans,0.0,0.0,0.8571428571428571,0.7142857142857143,,3.35,,1.32,-7.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2008-10-29_Houston Rockets_Memphis Grizzlies,2008-10-29,Houston Rockets,Memphis Grizzlies,0.0,0.0,0.8571428571428571,0.7142857142857143,,1.1,7.0,7.8,4.5,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2008-10-29_Los Angeles Clippers_Los Angeles Lakers,2008-10-29,Los Angeles Clippers,Los Angeles Lakers,0.0,0.0,0.8571428571428571,1.0,,5.2,,1.15,-1.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,79.0,0.468,7.0,10.0,0.7,15.0,18.0,0.833,9.0,40.0,49.0,19.0,8.0,7.0,15.0,17.0,96.0,0.552,0.513,0.127,0.228,22.5,75.5,52.7,51.4,9.0,11.7,14.7,107.7,85.3,0.5,1.0,0.5,1.0
2008-10-29_Minnesota Timberwolves_Sacramento Kings,2008-10-29,Minnesota Timberwolves,Sacramento Kings,0.0,0.0,1.0,0.7142857142857143,,1.44,,2.8,-0.5,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2008-10-29_Orlando Magic_Atlanta Hawks,2008-10-29,Orlando Magic,Atlanta Hawks,0.0,0.0,0.8571428571428571,1.0,,1.25,,3.95,2.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2008-10-29_Philadelphia 76ers_Toronto Raptors,2008-10-29,Philadelphia 76ers,Toronto Raptors,0.0,0.0,0.8571428571428571,0.42857142857142855,,1.46,,2.72,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
