unique_game_id,DATE,Home Team,Away Team,HOME_PRIOR_WIN_V_OPP,AWAY_PRIOR_WIN_V_OPP,HOME_IP_AVAIL,AWAY_IP_AVAIL,Home Odds Close,Away Odds Close,Home Relative Age Diff,Home All Stars,Away All Stars,Away Underdog,Underdog Win,Home FG,Home FGA,Home FG%,Home 3P,Home 3PA,Home 3P%,Home FT,Home FTA,Home FT%,Home ORB,Home DRB,Home TRB,Home AST,Home STL,Home BLK,Home TOV,Home PF,Home PTS,Home TS%,Home eFG%,Home 3PAr,Home FTr,Home ORB%,Home DRB%,Home TRB%,Home AST%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away FG,Away FGA,Away FG%,Away 3P,Away 3PA,Away 3P%,Away FT,Away FTA,Away FT%,Away ORB,Away DRB,Away TRB,Away AST,Away STL,Away BLK,Away TOV,Away PF,Away PTS,Away TS%,Away eFG%,Away 3PAr,Away FTr,Away ORB%,Away DRB%,Away TRB%,Away AST%,Away STL%,Away BLK%,Away TOV%,Away ORtg,Away DRtg,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2010-10-26_Boston Celtics_Miami Heat,2010-10-26,Boston Celtics,Miami Heat,0.0,0.0,0.8571428571428572,0.7142857142857141,1.9480000000000002,1.8493333333333333,-3.5,3.0,2.0,0.0,1.0,32.0,69.0,0.4640000000000002,8.0,16.0,0.5,16.0,25.0,0.64,8.0,34.0,42.0,25.0,6.0,4.0,18.0,19.0,88.0,0.5499999999999999,0.5220000000000001,0.2320000000000001,0.362,22.199999999999992,75.6,51.899999999999984,78.1,6.799999999999998,7.400000000000002,18.4,99.5,90.40000000000002,27.0,74.0,0.3650000000000001,8.0,20.0,0.4000000000000001,18.0,25.0,0.7200000000000001,11.0,28.0,39.0,15.0,10.0,6.0,17.0,21.0,80.0,0.471,0.4189999999999998,0.2700000000000001,0.33799999999999997,24.399999999999995,77.79999999999998,48.100000000000016,55.600000000000016,11.300000000000002,11.300000000000002,16.699999999999996,90.40000000000002,99.5,0.5,0.5,0.5,0.5
2010-10-26_Los Angeles Lakers_Houston Rockets,2010-10-26,Los Angeles Lakers,Houston Rockets,0.0,0.0,0.8571428571428572,0.8571428571428572,1.3033333333333332,3.5333333333333328,5.0,3.0,1.0,1.0,0.0,40.0,96.0,0.4169999999999999,9.0,21.0,0.4290000000000001,23.0,28.0,0.8209999999999998,14.0,30.0,44.0,21.0,11.0,4.0,12.0,24.0,112.0,0.5170000000000001,0.4640000000000002,0.2189999999999999,0.2919999999999999,27.5,65.20000000000002,45.399999999999984,52.5,10.699999999999998,5.599999999999999,10.0,109.09999999999997,107.20000000000003,38.0,91.0,0.4180000000000001,8.0,20.0,0.4000000000000001,26.0,28.0,0.9290000000000002,16.0,37.0,53.0,25.0,6.0,7.0,20.0,25.0,110.0,0.532,0.4619999999999999,0.22000000000000008,0.30799999999999994,34.800000000000004,72.5,54.600000000000016,65.79999999999998,5.799999999999998,9.3,16.199999999999996,107.20000000000003,109.09999999999997,0.5,0.5,0.5,0.5
2010-10-26_Portland Trail Blazers_Phoenix Suns,2010-10-26,Portland Trail Blazers,Phoenix Suns,0.0,0.0,1.0,0.8571428571428572,1.3079999999999998,3.4926666666666666,-1.5,1.0,1.0,1.0,0.0,43.0,93.0,0.4619999999999999,10.0,20.0,0.5,10.0,15.0,0.6669999999999999,18.0,30.0,48.0,31.0,11.0,2.0,12.0,22.0,106.0,0.532,0.516,0.215,0.161,43.899999999999984,81.1,61.5,72.10000000000002,12.300000000000002,3.600000000000001,10.800000000000002,118.29999999999997,102.70000000000003,36.0,74.0,0.4859999999999998,9.0,19.0,0.4740000000000002,11.0,16.0,0.6880000000000001,7.0,23.0,30.0,15.0,3.0,4.0,19.0,19.0,92.0,0.5679999999999998,0.5469999999999999,0.2570000000000001,0.21600000000000008,18.9,56.100000000000016,38.5,41.7,3.299999999999999,5.5,19.0,102.70000000000003,118.29999999999997,0.5,0.5,0.5,0.5
2010-10-27_Brooklyn Nets_Detroit Pistons,2010-10-27,Brooklyn Nets,Detroit Pistons,0.0,0.0,0.8571428571428572,0.8571428571428572,1.5619999999999998,2.4326666666666665,-2.0,0.0,0.0,1.0,0.0,39.0,80.0,0.4879999999999998,6.0,14.0,0.4290000000000001,17.0,24.0,0.7080000000000001,9.0,35.0,44.0,17.0,4.0,4.0,11.0,23.0,101.0,0.5579999999999999,0.5250000000000001,0.17499999999999996,0.29999999999999993,25.0,77.79999999999998,54.29999999999998,43.600000000000016,4.5,6.299999999999998,10.800000000000002,112.40000000000003,109.09999999999997,37.0,83.0,0.4459999999999999,8.0,19.0,0.4210000000000002,16.0,30.0,0.5329999999999997,10.0,27.0,37.0,21.0,7.0,3.0,6.0,19.0,98.0,0.5090000000000001,0.4939999999999998,0.2290000000000001,0.3609999999999999,22.199999999999992,75.0,45.70000000000001,56.79999999999998,7.799999999999998,4.5,5.900000000000001,109.09999999999997,112.40000000000003,0.5,0.5,0.5,0.5
2010-10-27_Cleveland Cavaliers_Boston Celtics,2010-10-27,Cleveland Cavaliers,Boston Celtics,0.0,0.0,1.0,1.0,2.535333333333333,1.5246666666666664,0.5,0.0,3.0,0.0,1.0,36.0,81.0,0.444,6.0,20.0,0.29999999999999993,17.0,21.0,0.8100000000000004,8.0,29.0,37.0,24.0,5.0,4.0,14.0,20.0,95.0,0.5259999999999999,0.4809999999999999,0.2469999999999999,0.25899999999999995,20.0,82.9,49.29999999999999,66.70000000000002,5.400000000000001,6.700000000000002,13.400000000000004,102.0,93.40000000000002,34.0,72.0,0.4720000000000002,3.0,12.0,0.25,16.0,21.0,0.7620000000000002,6.0,32.0,38.0,24.0,8.0,1.0,19.0,24.0,87.0,0.535,0.4930000000000001,0.16699999999999995,0.2919999999999999,17.099999999999998,80.0,50.70000000000001,70.60000000000002,8.599999999999998,1.6000000000000003,19.0,93.40000000000002,102.0,0.5,1.0,0.5,1.0
2010-10-27_Dallas Mavericks_Charlotte Hornets,2010-10-27,Dallas Mavericks,Charlotte Hornets,0.0,0.0,1.0,0.8571428571428572,1.336666666666667,3.3080000000000003,4.0,2.0,0.0,1.0,0.0,41.0,75.0,0.5469999999999999,4.0,15.0,0.267,15.0,18.0,0.8330000000000001,7.0,34.0,41.0,29.0,12.0,5.0,16.0,18.0,101.0,0.609,0.5730000000000002,0.20000000000000004,0.2400000000000001,20.0,81.0,53.20000000000002,70.70000000000002,13.0,8.299999999999999,16.199999999999996,109.5,93.20000000000003,29.0,73.0,0.3970000000000001,5.0,13.0,0.3849999999999999,23.0,24.0,0.958,8.0,28.0,36.0,22.0,8.0,3.0,20.0,15.0,86.0,0.5149999999999999,0.43200000000000016,0.17799999999999996,0.32899999999999985,19.0,80.0,46.79999999999999,75.9,8.700000000000001,5.0,19.300000000000004,93.20000000000003,109.5,0.5,0.5,0.5,0.5
2010-10-27_Denver Nuggets_Utah Jazz,2010-10-27,Denver Nuggets,Utah Jazz,0.0,0.0,1.0,0.7142857142857141,1.5553333333333337,2.448,0.5,0.0,0.0,1.0,0.0,35.0,80.0,0.4379999999999998,6.0,20.0,0.29999999999999993,34.0,41.0,0.8290000000000002,12.0,34.0,46.0,23.0,9.0,2.0,15.0,31.0,110.0,0.561,0.4749999999999999,0.25,0.513,26.699999999999992,75.6,51.100000000000016,65.70000000000002,9.2,3.5,13.300000000000004,112.0,89.59999999999998,27.0,70.0,0.3860000000000001,3.0,13.0,0.231,31.0,43.0,0.721,11.0,33.0,44.0,21.0,7.0,4.0,22.0,30.0,88.0,0.4950000000000001,0.407,0.18600000000000003,0.6140000000000001,24.399999999999995,73.29999999999998,48.899999999999984,77.79999999999998,7.099999999999998,6.700000000000002,19.800000000000004,89.59999999999998,112.0,0.5,0.5,0.5,0.5
2010-10-27_Golden State Warriors_Houston Rockets,2010-10-27,Golden State Warriors,Houston Rockets,0.0,0.0,0.8571428571428571,0.8571428571428571,1.602142857142857,2.337142857142857,0.0,0.0,1.0,1.0,0.0,51.0,92.0,0.5539999999999999,8.0,20.0,0.4,22.0,26.0,0.846,14.0,31.0,45.0,25.0,5.0,7.0,12.0,30.0,132.0,0.638,0.598,0.21700000000000005,0.28300000000000003,36.8,67.39999999999999,53.600000000000016,49.0,5.0,9.900000000000002,10.400000000000002,132.70000000000002,128.70000000000002,41.0,87.0,0.471,4.0,16.0,0.25,42.0,52.0,0.8079999999999999,15.0,24.0,39.0,24.0,9.0,2.0,9.0,20.0,128.0,0.5820000000000001,0.4939999999999998,0.184,0.598,32.60000000000001,63.20000000000001,46.399999999999984,58.5,9.0,2.8,7.599999999999999,128.70000000000002,132.70000000000002,0.5,0.0,0.5,0.0
2010-10-27_Los Angeles Clippers_Portland Trail Blazers,2010-10-27,Los Angeles Clippers,Portland Trail Blazers,0.0,0.0,0.7142857142857141,1.0,2.134666666666667,1.7113333333333332,2.0,1.0,1.0,0.0,0.0,32.0,79.0,0.4050000000000002,5.0,18.0,0.278,19.0,30.0,0.6329999999999998,14.0,27.0,41.0,19.0,8.0,8.0,15.0,20.0,88.0,0.4770000000000002,0.4370000000000002,0.2280000000000001,0.38,31.800000000000008,56.29999999999998,44.600000000000016,59.399999999999984,9.2,11.800000000000002,14.0,100.70000000000003,112.09999999999997,36.0,88.0,0.4089999999999999,8.0,20.0,0.4000000000000001,18.0,23.0,0.7829999999999997,21.0,30.0,51.0,17.0,9.0,6.0,12.0,23.0,98.0,0.4989999999999999,0.455,0.2269999999999999,0.2610000000000001,43.79999999999999,68.20000000000002,55.399999999999984,47.20000000000001,10.3,9.8,10.900000000000004,112.09999999999997,100.70000000000003,0.5,1.0,0.5,1.0
2010-10-27_Memphis Grizzlies_Atlanta Hawks,2010-10-27,Memphis Grizzlies,Atlanta Hawks,0.0,0.0,0.8571428571428572,1.0,1.6986666666666663,2.156,-3.5,0.0,1.0,1.0,1.0,40.0,86.0,0.4649999999999999,4.0,9.0,0.444,20.0,25.0,0.8000000000000002,9.0,30.0,39.0,13.0,7.0,4.0,14.0,26.0,104.0,0.5359999999999998,0.4879999999999998,0.105,0.29100000000000004,20.5,76.9,47.0,32.5,7.099999999999998,6.299999999999998,12.599999999999996,105.09999999999997,120.20000000000003,42.0,80.0,0.5250000000000001,8.0,16.0,0.5,27.0,31.0,0.8710000000000003,9.0,35.0,44.0,20.0,7.0,9.0,15.0,20.0,119.0,0.6349999999999999,0.575,0.20000000000000004,0.388,23.100000000000005,79.5,53.0,47.600000000000016,7.099999999999998,11.699999999999998,13.800000000000004,120.20000000000003,105.09999999999997,0.5,0.5,0.5,0.5
