Unnamed: 0,DATE,RESULT,HOME_PRIOR_WIN_V_OPP,AWAY_PRIOR_WIN_V_OPP,PRIOR_GAME_V_OPP,HOME_IP_AVAIL,AWAY_IP_AVAIL,Bookie Number,Home Team,Away Team,Home Odds Open,Home Odds Close,Away Odds Open,Away Odds Close,Home All Stars,Away All Stars,Home Median Age,Away Median Age,Away Win,Away Underdog,Underdog Win,Home FG,Home FGA,Home FG%,Home 3P,Home 3PA,Home 3P%,Home FT,Home FTA,Home FT%,Home ORB,Home DRB,Home TRB,Home AST,Home STL,Home BLK,Home TOV,Home PF,Home PTS,Home TS%,Home eFG%,Home 3PAr,Home FTr,Home ORB%,Home DRB%,Home TRB%,Home AST%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away FG,Away FGA,Away FG%,Away 3P,Away 3PA,Away 3P%,Away FT,Away FTA,Away FT%,Away ORB,Away DRB,Away TRB,Away AST,Away STL,Away BLK,Away TOV,Away PF,Away PTS,Away TS%,Away eFG%,Away 3PAr,Away FTr,Away ORB%,Away DRB%,Away TRB%,Away AST%,Away STL%,Away BLK%,Away TOV%,Away ORtg,Away DRtg,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
0,2008-10-28,Boston Celtics,0.0,0.0,0.0,1.0,1.0,5.0,Boston Celtics,Cleveland Cavaliers,1.32,1.36,3.4,3.15,4.0,1.0,26.0,25.0,0.0,1.0,0.0,33,74,0.446,3,14,0.214,21,34,0.618,10,26,36,16,10,0,16,28,90,0.506,0.466,0.189,0.459,23.3,76.5,46.8,48.5,10.8,0.0,15.2,96.9,91.5,29,68,0.426,3,15,0.2,24,33,0.727,8,33,41,16,8,2,21,26,85,0.515,0.449,0.221,0.485,23.5,76.7,53.2,55.2,8.6,3.3,20.3,91.5,96.9,0.5,0.5,0.5,0.5
1,2008-10-28,Chicago Bulls,0.0,0.0,0.0,0.7142857142857143,0.8571428571428571,5.0,Chicago Bulls,Milwaukee Bucks,,1.36,3.15,3.2,0.0,0.0,25.0,29.0,0.0,1.0,0.0,35,69,0.507,5,12,0.417,33,44,0.75,14,26,40,27,9,6,18,18,108,0.611,0.5429999999999999,0.174,0.638,42.4,66.7,55.6,77.1,10.0,9.4,16.9,120.3,105.8,37,78,0.474,6,14,0.429,15,20,0.75,13,19,32,21,5,3,19,30,95,0.547,0.513,0.179,0.256,33.3,57.6,44.4,56.8,5.6,5.3,18.0,105.8,120.3,0.5,0.5,0.5,0.5
2,2008-10-28,Los Angeles Lakers,0.0,0.0,0.0,1.0,1.0,5.0,Los Angeles Lakers,Portland Trail Blazers,,1.27,3.75,3.85,2.0,1.0,27.0,24.0,0.0,1.0,0.0,37,79,0.468,7,10,0.7,15,18,0.833,9,40,49,19,8,7,15,17,96,0.552,0.513,0.127,0.228,22.5,75.5,52.7,51.4,9.0,11.7,14.7,107.7,85.3,29,84,0.345,10,24,0.417,8,14,0.5710000000000001,13,31,44,19,8,3,12,17,76,0.421,0.405,0.28600000000000003,0.16699999999999998,24.5,77.5,47.3,65.5,9.0,4.3,11.7,85.3,107.7,0.5,0.5,0.5,0.5
3,2008-10-29,Detroit Pistons,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,5.0,Detroit Pistons,Indiana Pacers,,1.13,,5.75,0.0,1.0,26.0,26.0,0.0,1.0,0.0,40,91,0.44,6,13,0.462,14,16,0.875,14,27,41,23,11,8,14,21,100,0.51,0.473,0.14300000000000002,0.17600000000000002,29.8,84.4,51.9,57.5,11.6,14.5,12.5,105.8,99.4,33,67,0.493,4,12,0.333,24,29,0.828,5,33,38,18,7,8,21,20,94,0.589,0.522,0.179,0.433,15.6,70.2,48.1,54.5,7.4,10.3,20.8,99.4,105.8,0.5,0.5,0.5,0.5
4,2008-10-29,New Orleans Pelicans,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,5.0,Golden State Warriors,New Orleans Pelicans,,3.35,,1.32,0.0,1.0,23.0,30.0,1.0,0.0,0.0,36,82,0.439,9,23,0.391,22,32,0.688,11,28,39,18,10,5,13,26,103,0.536,0.494,0.28,0.39,24.4,77.8,48.1,50.0,10.4,7.7,11.9,107.4,112.6,41,82,0.5,7,17,0.412,19,27,0.7040000000000001,8,34,42,23,8,6,13,24,108,0.575,0.5429999999999999,0.207,0.329,22.2,75.6,51.9,56.1,8.3,10.2,12.2,112.6,107.4,0.5,0.5,0.5,0.5
5,2008-10-29,Houston Rockets,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,5.0,Houston Rockets,Memphis Grizzlies,,1.1,7.0,7.8,0.0,0.0,28.0,23.5,0.0,1.0,0.0,28,76,0.368,5,16,0.313,21,25,0.84,11,33,44,10,9,2,12,15,82,0.471,0.401,0.211,0.329,24.4,68.8,47.3,35.7,10.5,2.9,12.1,95.9,83.1,31,81,0.383,0,13,0.0,9,13,0.6920000000000001,15,34,49,11,7,6,16,22,71,0.409,0.383,0.16,0.16,31.3,75.6,52.7,35.5,8.2,10.0,15.6,83.1,95.9,0.5,0.5,0.5,0.5
6,2008-10-29,Los Angeles Lakers,0.0,0.0,0.0,0.8571428571428571,1.0,5.0,Los Angeles Clippers,Los Angeles Lakers,,5.2,,1.15,0.0,2.0,26.0,27.0,1.0,0.0,0.0,30,78,0.385,5,22,0.227,14,23,0.609,10,22,32,24,9,5,18,29,79,0.448,0.417,0.282,0.295,21.3,61.1,38.6,80.0,9.6,8.2,17.0,84.4,125.0,41,80,0.513,10,19,0.526,25,33,0.758,14,37,51,28,7,3,16,19,117,0.619,0.575,0.238,0.413,38.9,78.7,61.4,68.3,7.5,5.4,14.5,125.0,84.4,0.5,1.0,0.5,1.0
7,2008-10-29,Minnesota Timberwolves,0.0,0.0,0.0,1.0,0.7142857142857143,5.0,Minnesota Timberwolves,Sacramento Kings,,1.44,,2.8,0.0,0.0,25.0,25.5,0.0,1.0,0.0,42,87,0.483,3,11,0.273,11,22,0.5,11,29,40,25,10,7,11,23,98,0.507,0.5,0.126,0.253,23.4,76.3,47.1,59.5,10.6,11.1,10.2,103.5,101.4,36,80,0.45,5,17,0.294,19,25,0.76,9,36,45,22,2,8,15,20,96,0.527,0.481,0.213,0.313,23.7,76.6,52.9,61.1,2.1,10.5,14.2,101.4,103.5,0.5,0.5,0.5,0.5
8,2008-10-29,New York Knicks,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,5.0,New York Knicks,Miami Heat,,1.68,,2.18,0.0,1.0,25.5,27.0,0.0,1.0,0.0,42,87,0.483,9,25,0.36,27,37,0.73,14,32,46,27,7,0,15,28,120,0.581,0.534,0.287,0.425,29.2,71.1,49.5,64.3,6.8,0.0,12.7,116.2,111.4,42,92,0.457,6,23,0.261,25,33,0.758,13,34,47,22,8,2,14,26,115,0.54,0.489,0.25,0.359,28.9,70.8,50.5,52.4,7.7,3.2,11.6,111.4,116.2,0.5,0.5,0.5,0.5
9,2008-10-29,Milwaukee Bucks,0.0,0.0,0.0,0.7142857142857143,0.8571428571428571,5.0,Oklahoma City Thunder,Milwaukee Bucks,,1.68,,2.18,1.0,0.0,23.0,29.0,1.0,1.0,1.0,32,73,0.438,1,6,0.16699999999999998,22,31,0.71,13,22,35,16,9,3,19,23,87,0.502,0.445,0.08199999999999999,0.425,31.0,61.1,44.9,50.0,10.0,5.2,18.0,97.1,109.4,35,76,0.461,7,18,0.389,21,26,0.8079999999999999,14,29,43,17,7,4,19,22,98,0.56,0.507,0.237,0.342,38.9,69.0,55.1,48.6,7.8,6.0,17.9,109.4,97.1,0.5,0.0,0.5,0.0
