DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,HOME_WIN,WINNING_TEAM,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2012-10-30,Washington Wizards,84,Cleveland Cavaliers,94,True,Cleveland Cavaliers,0.5,0.5,0.5,0.5
2012-10-30,Boston Celtics,107,Miami Heat,120,True,Miami Heat,0.5,0.5,0.5,0.5
2012-10-30,Dallas Mavericks,99,Los Angeles Lakers,91,False,Dallas Mavericks,0.5,0.5,0.5,0.5
2012-10-31,Denver Nuggets,75,Philadelphia 76ers,84,True,Philadelphia 76ers,0.5,0.5,0.5,0.5
2012-10-31,Indiana Pacers,90,Toronto Raptors,88,False,Indiana Pacers,0.5,0.5,0.5,0.5
2012-10-31,Houston Rockets,105,Detroit Pistons,96,False,Houston Rockets,0.5,0.5,0.5,0.5
2012-10-31,Sacramento Kings,87,Chicago Bulls,93,True,Chicago Bulls,0.5,0.5,0.5,0.5
2012-10-31,San Antonio Spurs,99,New Orleans Pelicans,95,False,San Antonio Spurs,0.5,0.5,0.5,0.5
2012-10-31,Dallas Mavericks,94,Utah Jazz,113,True,Utah Jazz,0.5,1.0,0.5,1.0
2012-10-31,Golden State Warriors,87,Phoenix Suns,85,False,Golden State Warriors,0.5,0.5,0.5,0.5
2012-10-31,Memphis Grizzlies,92,Los Angeles Clippers,101,True,Los Angeles Clippers,0.5,0.5,0.5,0.5
2012-10-31,Los Angeles Lakers,106,Portland Trail Blazers,116,True,Portland Trail Blazers,0.5,0.0,0.5,0.0
2012-11-01,Oklahoma City Thunder,84,San Antonio Spurs,86,True,San Antonio Spurs,1.0,0.5,1.0,0.5
2012-11-02,Indiana Pacers,89,Charlotte Hornets,90,True,Charlotte Hornets,0.5,1.0,0.5,1.0
2012-11-02,Denver Nuggets,89,Orlando Magic,102,True,Orlando Magic,0.5,0.0,0.5,0.0
2012-11-02,Houston Rockets,109,Atlanta Hawks,102,False,Houston Rockets,0.5,1.0,0.5,1.0
2012-11-02,Milwaukee Bucks,99,Boston Celtics,88,False,Milwaukee Bucks,0.0,0.5,0.0,0.5
2012-11-02,Chicago Bulls,115,Cleveland Cavaliers,86,False,Chicago Bulls,1.0,1.0,1.0,1.0
2012-11-02,Sacramento Kings,80,Minnesota Timberwolves,92,True,Minnesota Timberwolves,0.5,0.0,0.5,0.0
2012-11-02,Utah Jazz,86,New Orleans Pelicans,88,True,New Orleans Pelicans,0.0,1.0,0.0,1.0
2012-11-02,Miami Heat,84,New York Knicks,104,True,New York Knicks,0.5,1.0,0.5,1.0
2012-11-02,Portland Trail Blazers,92,Oklahoma City Thunder,106,True,Oklahoma City Thunder,0.0,1.0,0.0,1.0
2012-11-02,Detroit Pistons,89,Phoenix Suns,92,True,Phoenix Suns,0.0,0.0,0.0,0.0
2012-11-02,Memphis Grizzlies,104,Golden State Warriors,94,False,Memphis Grizzlies,1.0,0.0,1.0,0.0
2012-11-02,Los Angeles Clippers,105,Los Angeles Lakers,95,False,Los Angeles Clippers,0.0,1.0,0.0,1.0
2012-11-03,Sacramento Kings,98,Indiana Pacers,106,True,Indiana Pacers,0.5,0.0,0.5,0.0
2012-11-03,Boston Celtics,89,Washington Wizards,86,False,Boston Celtics,0.0,0.0,0.0,0.0
2012-11-03,Toronto Raptors,100,Brooklyn Nets,107,True,Brooklyn Nets,0.5,0.0,0.5,0.0
2012-11-03,Denver Nuggets,116,Miami Heat,119,True,Miami Heat,0.5,0.0,0.5,0.0
2012-11-03,New Orleans Pelicans,89,Chicago Bulls,82,False,New Orleans Pelicans,1.0,0.5,1.0,0.5
2012-11-03,Portland Trail Blazers,95,Houston Rockets,85,False,Portland Trail Blazers,1.0,0.5,1.0,0.5
2012-11-03,Charlotte Hornets,99,Dallas Mavericks,126,True,Dallas Mavericks,0.5,1.0,0.5,1.0
2012-11-03,Cleveland Cavaliers,102,Milwaukee Bucks,105,True,Milwaukee Bucks,1.0,0.5,1.0,0.5
2012-11-03,Utah Jazz,100,San Antonio Spurs,110,True,San Antonio Spurs,1.0,0.5,1.0,0.5
2012-11-03,Golden State Warriors,114,Los Angeles Clippers,110,False,Golden State Warriors,1.0,0.5,1.0,0.5
2012-11-04,Philadelphia 76ers,84,New York Knicks,100,True,New York Knicks,1.0,1.0,1.0,1.0
2012-11-04,Phoenix Suns,94,Orlando Magic,115,True,Orlando Magic,1.0,0.5,1.0,0.5
2012-11-04,Minnesota Timberwolves,86,Toronto Raptors,105,True,Toronto Raptors,0.0,1.0,0.0,1.0
2012-11-04,Atlanta Hawks,104,Oklahoma City Thunder,95,False,Atlanta Hawks,0.5,0.0,0.5,0.0
2012-11-04,Detroit Pistons,79,Los Angeles Lakers,108,True,Los Angeles Lakers,0.0,0.0,0.0,0.0
2012-11-05,New York Knicks,110,Philadelphia 76ers,88,False,New York Knicks,0.5,1.0,0.5,1.0
2012-11-05,Minnesota Timberwolves,107,Brooklyn Nets,96,False,Minnesota Timberwolves,1.0,0.5,1.0,0.5
2012-11-05,Phoenix Suns,99,Miami Heat,124,True,Miami Heat,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
2012-11-05,Utah Jazz,94,Memphis Grizzlies,103,True,Memphis Grizzlies,0.5,0.3333333333333333,0.5,0.3333333333333333
2012-11-05,Portland Trail Blazers,91,Dallas Mavericks,114,True,Dallas Mavericks,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2012-11-05,Indiana Pacers,79,San Antonio Spurs,101,True,San Antonio Spurs,1.0,0.6666666666666666,1.0,0.6666666666666666
2012-11-05,Golden State Warriors,92,Sacramento Kings,94,True,Sacramento Kings,0.0,0.6666666666666666,0.0,0.6666666666666666
2012-11-05,Cleveland Cavaliers,108,Los Angeles Clippers,101,False,Cleveland Cavaliers,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
2012-11-06,Orlando Magic,93,Chicago Bulls,99,True,Chicago Bulls,0.6666666666666666,1.0,0.6666666666666666,1.0
2012-11-06,Toronto Raptors,88,Oklahoma City Thunder,108,True,Oklahoma City Thunder,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2012-11-06,Detroit Pistons,97,Denver Nuggets,109,True,Denver Nuggets,0.0,0.0,0.0,0.0
2012-11-07,Phoenix Suns,117,Charlotte Hornets,110,False,Phoenix Suns,0.5,0.25,0.5,0.25
2012-11-07,Indiana Pacers,86,Atlanta Hawks,89,True,Atlanta Hawks,0.5,0.5,0.5,0.5
2012-11-07,Washington Wizards,94,Boston Celtics,100,True,Boston Celtics,0.3333333333333333,0.0,0.3333333333333333,0.0
