index,DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,HOME_WIN,WINNING_TEAM,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
0,2019-10-22,New Orleans Pelicans,122,Toronto Raptors,130,True,Toronto Raptors,0.5,0.5,0.5,0.5
1,2019-10-22,Los Angeles Lakers,102,Los Angeles Clippers,112,True,Los Angeles Clippers,0.5,0.5,0.5,0.5
4,2019-10-23,Detroit Pistons,119,Indiana Pacers,110,False,Detroit Pistons,0.5,0.5,0.5,0.5
5,2019-10-23,Chicago Bulls,125,Charlotte Hornets,126,True,Charlotte Hornets,0.5,0.5,0.5,0.5
6,2019-10-23,Oklahoma City Thunder,95,Utah Jazz,100,True,Utah Jazz,0.5,0.5,0.5,0.5
7,2019-10-23,Denver Nuggets,108,Portland Trail Blazers,100,False,Denver Nuggets,0.5,0.5,0.5,0.5
8,2019-10-23,Sacramento Kings,95,Phoenix Suns,124,True,Phoenix Suns,0.5,0.5,0.5,0.5
9,2019-10-23,Washington Wizards,100,Dallas Mavericks,108,True,Dallas Mavericks,0.5,0.5,0.5,0.5
11,2019-10-23,Boston Celtics,93,Philadelphia 76ers,107,True,Philadelphia 76ers,0.5,0.5,0.5,0.5
12,2019-10-23,Memphis Grizzlies,101,Miami Heat,120,True,Miami Heat,0.5,0.5,0.5,0.5
13,2019-10-23,Minnesota Timberwolves,127,Brooklyn Nets,126,False,Minnesota Timberwolves,0.5,0.5,0.5,0.5
15,2019-10-23,Cleveland Cavaliers,85,Orlando Magic,94,True,Orlando Magic,0.5,0.5,0.5,0.5
16,2019-10-23,New York Knicks,111,San Antonio Spurs,120,True,San Antonio Spurs,0.5,0.5,0.5,0.5
26,2019-10-24,Los Angeles Clippers,141,Golden State Warriors,122,False,Los Angeles Clippers,0.5,1.0,0.5,1.0
27,2019-10-24,Atlanta Hawks,117,Detroit Pistons,100,False,Atlanta Hawks,1.0,0.5,1.0,0.5
28,2019-10-24,Milwaukee Bucks,117,Houston Rockets,111,False,Milwaukee Bucks,0.5,0.5,0.5,0.5
32,2019-10-25,Washington Wizards,97,Oklahoma City Thunder,85,False,Washington Wizards,0.0,0.0,0.0,0.0
33,2019-10-25,Phoenix Suns,107,Denver Nuggets,108,True,Denver Nuggets,1.0,1.0,1.0,1.0
34,2019-10-25,Portland Trail Blazers,122,Sacramento Kings,112,False,Portland Trail Blazers,0.0,0.0,0.0,0.0
35,2019-10-25,Utah Jazz,86,Los Angeles Lakers,95,True,Los Angeles Lakers,0.0,1.0,0.0,1.0
36,2019-10-25,New York Knicks,109,Brooklyn Nets,113,True,Brooklyn Nets,0.0,0.0,0.0,0.0
37,2019-10-25,Minnesota Timberwolves,121,Charlotte Hornets,99,False,Minnesota Timberwolves,1.0,1.0,1.0,1.0
38,2019-10-25,Toronto Raptors,106,Boston Celtics,112,True,Boston Celtics,0.0,1.0,0.0,1.0
39,2019-10-25,Chicago Bulls,110,Memphis Grizzlies,102,False,Chicago Bulls,0.0,0.0,0.0,0.0
40,2019-10-25,Dallas Mavericks,123,New Orleans Pelicans,116,False,Dallas Mavericks,0.0,1.0,0.0,1.0
50,2019-10-26,Sacramento Kings,81,Utah Jazz,113,True,Utah Jazz,0.5,0.0,0.5,0.0
51,2019-10-26,Washington Wizards,122,San Antonio Spurs,124,True,San Antonio Spurs,1.0,0.5,1.0,0.5
52,2019-10-26,Miami Heat,131,Milwaukee Bucks,126,False,Miami Heat,1.0,1.0,1.0,1.0
53,2019-10-26,Philadelphia 76ers,117,Detroit Pistons,111,False,Philadelphia 76ers,0.5,1.0,0.5,1.0
54,2019-10-26,Orlando Magic,99,Atlanta Hawks,103,True,Atlanta Hawks,1.0,1.0,1.0,1.0
55,2019-10-26,Boston Celtics,118,New York Knicks,95,False,Boston Celtics,0.0,0.5,0.0,0.5
57,2019-10-26,Indiana Pacers,99,Cleveland Cavaliers,110,True,Cleveland Cavaliers,0.0,0.0,0.0,0.0
58,2019-10-26,New Orleans Pelicans,123,Houston Rockets,126,True,Houston Rockets,0.0,0.0,0.0,0.0
61,2019-10-26,Toronto Raptors,108,Chicago Bulls,84,False,Toronto Raptors,0.5,0.5,0.5,0.5
63,2019-10-26,Los Angeles Clippers,122,Phoenix Suns,130,True,Phoenix Suns,0.5,1.0,0.5,1.0
70,2019-10-27,Brooklyn Nets,133,Memphis Grizzlies,134,True,Memphis Grizzlies,0.0,0.5,0.0,0.5
71,2019-10-27,Portland Trail Blazers,121,Dallas Mavericks,119,False,Portland Trail Blazers,1.0,0.5,1.0,0.5
72,2019-10-27,Miami Heat,109,Minnesota Timberwolves,116,True,Minnesota Timberwolves,1.0,1.0,1.0,1.0
73,2019-10-27,Charlotte Hornets,101,Los Angeles Lakers,120,True,Los Angeles Lakers,0.5,0.5,0.5,0.5
74,2019-10-27,Golden State Warriors,92,Oklahoma City Thunder,120,True,Oklahoma City Thunder,0.0,0.0,0.0,0.0
80,2019-10-28,Philadelphia 76ers,105,Atlanta Hawks,103,False,Philadelphia 76ers,1.0,1.0,1.0,1.0
81,2019-10-28,Indiana Pacers,94,Detroit Pistons,96,True,Detroit Pistons,0.3333333333333333,0.0,0.3333333333333333,0.0
82,2019-10-28,Chicago Bulls,98,New York Knicks,105,True,New York Knicks,0.0,0.3333333333333333,0.0,0.3333333333333333
83,2019-10-28,Orlando Magic,95,Toronto Raptors,104,True,Toronto Raptors,0.6666666666666666,0.5,0.6666666666666666,0.5
84,2019-10-28,Cleveland Cavaliers,112,Milwaukee Bucks,129,True,Milwaukee Bucks,0.5,0.5,0.5,0.5
85,2019-10-28,Golden State Warriors,134,New Orleans Pelicans,123,False,Golden State Warriors,0.0,0.0,0.0,0.0
86,2019-10-28,Oklahoma City Thunder,112,Houston Rockets,116,True,Houston Rockets,0.5,0.3333333333333333,0.5,0.3333333333333333
87,2019-10-28,Portland Trail Blazers,110,San Antonio Spurs,113,True,San Antonio Spurs,1.0,0.6666666666666666,1.0,0.6666666666666666
88,2019-10-28,Utah Jazz,96,Phoenix Suns,95,False,Utah Jazz,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
89,2019-10-28,Denver Nuggets,101,Sacramento Kings,94,False,Denver Nuggets,0.0,1.0,0.0,1.0
90,2019-10-28,Charlotte Hornets,96,Los Angeles Clippers,111,True,Los Angeles Clippers,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
102,2019-10-29,Dallas Mavericks,109,Denver Nuggets,106,False,Dallas Mavericks,1.0,0.6666666666666666,1.0,0.6666666666666666
