Game Date,Bookie Number,Home Team,Away Team,Home Odds Open,Home Odds Close,Away Odds Open,Away Odds Close
2016-04-14,56,Boston Celtics,Miami Heat,1.52,1.50,2.61,2.65
2016-04-14,417,Boston Celtics,Miami Heat,1.47,1.45,2.88,3.05
2016-04-14,27,Boston Celtics,Miami Heat,1.48,1.45,2.70,2.80
2016-04-14,3,Boston Celtics,Miami Heat,1.49,1.48,2.58,2.59
2016-04-14,16,Boston Celtics,Miami Heat,1.43,1.50,2.90,2.70
2016-04-14,32,Boston Celtics,Miami Heat,1.42,1.50,2.70,2.50
2016-04-14,429,Boston Celtics,Miami Heat,1.36,1.47,3.10,2.62
2016-04-14,24,Boston Celtics,Miami Heat,1.45,1.50,2.80,2.60
2016-04-14,43,Boston Celtics,Miami Heat,1.45,1.50,2.80,2.60
2016-04-14,76,Boston Celtics,Miami Heat,1.40,1.50,3.00,2.60
2016-04-14,26,Boston Celtics,Miami Heat,1.50,1.48,2.65,2.70
2016-04-14,2,Boston Celtics,Miami Heat,1.53,1.53,2.55,2.55
2016-04-14,1,Boston Celtics,Miami Heat,1.35,1.45,3.00,2.50
2016-04-14,18,Boston Celtics,Miami Heat,1.52,1.53,2.73,2.71
2016-04-14,5,Boston Celtics,Miami Heat,1.48,1.45,2.70,2.80
2016-04-14,15,Boston Celtics,Miami Heat,1.50,1.50,2.70,2.70
2016-04-14,128,Boston Celtics,Miami Heat,1.48,1.48,2.65,2.65
2016-04-14,44,Boston Celtics,Miami Heat,1.35,1.53,2.00,2.65
2016-04-14,56,Brooklyn Nets,Toronto Raptors,2.78,2.80,1.46,1.46
2016-04-14,417,Brooklyn Nets,Toronto Raptors,4.90,2.65,1.22,1.55
2016-04-14,27,Brooklyn Nets,Toronto Raptors,2.95,2.60,1.42,1.50
2016-04-14,3,Brooklyn Nets,Toronto Raptors,2.62,2.71,1.47,1.45
2016-04-14,16,Brooklyn Nets,Toronto Raptors,2.90,2.85,1.43,1.44
2016-04-14,32,Brooklyn Nets,Toronto Raptors,2.75,2.75,1.42,1.42
2016-04-14,429,Brooklyn Nets,Toronto Raptors,2.80,2.70,1.44,1.47
2016-04-14,24,Brooklyn Nets,Toronto Raptors,2.95,2.75,1.41,1.46
2016-04-14,43,Brooklyn Nets,Toronto Raptors,2.95,2.75,1.41,1.46
2016-04-14,76,Brooklyn Nets,Toronto Raptors,2.80,2.80,1.44,1.45
2016-04-14,26,Brooklyn Nets,Toronto Raptors,2.85,2.80,1.44,1.45
2016-04-14,2,Brooklyn Nets,Toronto Raptors,2.55,3.00,1.53,1.40
2016-04-14,1,Brooklyn Nets,Toronto Raptors,2.65,2.65,1.40,1.45
2016-04-14,18,Brooklyn Nets,Toronto Raptors,2.99,2.84,1.45,1.49
2016-04-14,5,Brooklyn Nets,Toronto Raptors,2.95,2.60,1.42,1.50
2016-04-14,15,Brooklyn Nets,Toronto Raptors,2.80,2.80,1.45,1.45
2016-04-14,128,Brooklyn Nets,Toronto Raptors,2.85,2.50,1.43,1.53
2016-04-14,44,Brooklyn Nets,Toronto Raptors,1.01,2.71,1.01,1.48
2016-04-14,56,Charlotte Hornets,Orlando Magic,1.20,1.30,4.80,3.65
2016-04-14,417,Charlotte Hornets,Orlando Magic,1.23,1.28,4.90,4.15
2016-04-14,27,Charlotte Hornets,Orlando Magic,1.19,1.25,5.00,4.00
2016-04-14,3,Charlotte Hornets,Orlando Magic,1.15,1.28,5.21,3.60
2016-04-14,16,Charlotte Hornets,Orlando Magic,1.22,1.31,4.50,3.60
2016-04-14,32,Charlotte Hornets,Orlando Magic,1.20,1.28,4.30,3.50
2016-04-14,429,Charlotte Hornets,Orlando Magic,1.16,1.28,5.00,3.80
2016-04-14,24,Charlotte Hornets,Orlando Magic,1.19,1.28,4.75,3.75
2016-04-14,43,Charlotte Hornets,Orlando Magic,1.19,1.28,4.75,3.75
2016-04-14,76,Charlotte Hornets,Orlando Magic,1.18,1.30,5.00,3.60
2016-04-14,26,Charlotte Hornets,Orlando Magic,1.18,1.25,5.00,4.10
2016-04-14,2,Charlotte Hornets,Orlando Magic,1.18,1.28,5.00,3.75
2016-04-14,1,Charlotte Hornets,Orlando Magic,1.14,1.25,4.90,3.45
2016-04-14,18,Charlotte Hornets,Orlando Magic,1.19,1.32,5.42,3.77
2016-04-14,5,Charlotte Hornets,Orlando Magic,1.19,1.25,5.00,4.00
2016-04-14,15,Charlotte Hornets,Orlando Magic,1.18,1.29,4.75,3.75
2016-04-14,128,Charlotte Hornets,Orlando Magic,1.20,1.25,4.60,4.00
2016-04-14,44,Charlotte Hornets,Orlando Magic,1.21,1.32,1.01,3.61
2016-04-14,56,Chicago Bulls,Philadelphia 76ers,1.14,1.19,6.00,5.00
2016-04-14,417,Chicago Bulls,Philadelphia 76ers,1.19,1.19,5.70,5.10
2016-04-14,27,Chicago Bulls,Philadelphia 76ers,1.12,1.17,7.00,5.30
2016-04-14,3,Chicago Bulls,Philadelphia 76ers,1.13,1.17,5.67,4.84
2016-04-14,16,Chicago Bulls,Philadelphia 76ers,1.14,1.19,6.00,5.00
2016-04-14,32,Chicago Bulls,Philadelphia 76ers,1.15,1.17,4.90,4.60
2016-04-14,429,Chicago Bulls,Philadelphia 76ers,1.15,1.18,5.50,5.00
2016-04-14,24,Chicago Bulls,Philadelphia 76ers,1.12,1.17,6.45,5.20
2016-04-14,43,Chicago Bulls,Philadelphia 76ers,1.12,1.17,6.45,5.20
2016-04-14,76,Chicago Bulls,Philadelphia 76ers,1.14,1.18,5.75,5.00
2016-04-14,26,Chicago Bulls,Philadelphia 76ers,1.15,1.18,5.75,5.00
2016-04-14,2,Chicago Bulls,Philadelphia 76ers,1.14,1.18,6.00,5.00
2016-04-14,1,Chicago Bulls,Philadelphia 76ers,1.12,1.16,5.25,4.60
2016-04-14,18,Chicago Bulls,Philadelphia 76ers,1.13,1.19,6.99,5.42
2016-04-14,5,Chicago Bulls,Philadelphia 76ers,1.12,1.17,7.00,5.30
2016-04-14,15,Chicago Bulls,Philadelphia 76ers,1.13,1.18,6.20,4.75
2016-04-14,128,Chicago Bulls,Philadelphia 76ers,1.14,1.18,5.75,4.80
2016-04-14,44,Chicago Bulls,Philadelphia 76ers,1.01,1.20,1.01,5.28
2016-04-14,56,Cleveland Cavaliers,Detroit Pistons,1.80,1.54,2.06,2.55
2016-04-14,417,Cleveland Cavaliers,Detroit Pistons,1.65,1.55,2.42,2.68
2016-04-14,27,Cleveland Cavaliers,Detroit Pistons,1.82,1.55,2.00,2.48
2016-04-14,3,Cleveland Cavaliers,Detroit Pistons,1.76,1.56,2.03,2.38
2016-04-14,16,Cleveland Cavaliers,Detroit Pistons,1.80,1.55,2.05,2.60
2016-04-14,32,Cleveland Cavaliers,Detroit Pistons,1.72,1.58,2.00,2.25
2016-04-14,429,Cleveland Cavaliers,Detroit Pistons,1.80,1.57,2.00,2.40
2016-04-14,24,Cleveland Cavaliers,Detroit Pistons,1.82,1.58,2.01,2.40
2016-04-14,43,Cleveland Cavaliers,Detroit Pistons,1.82,1.58,2.01,2.40
2016-04-14,76,Cleveland Cavaliers,Detroit Pistons,1.80,1.55,2.00,2.45
2016-04-14,26,Cleveland Cavaliers,Detroit Pistons,1.80,1.57,2.05,2.45
2016-04-14,2,Cleveland Cavaliers,Detroit Pistons,1.75,1.59,2.10,2.40
2016-04-14,1,Cleveland Cavaliers,Detroit Pistons,1.75,1.55,2.00,2.30
2016-04-14,18,Cleveland Cavaliers,Detroit Pistons,1.85,1.56,2.06,2.59
2016-04-14,5,Cleveland Cavaliers,Detroit Pistons,1.82,1.55,2.00,2.48
