TEAM,PLAYER,AGE,MP,VORP
Atlanta Hawks,Kent Bazemore,26,27.8,1.2
Atlanta Hawks,Kirk Hinrich,35,6.9,-0.2
Atlanta Hawks,Justin Holiday,26,10.1,-0.2
Atlanta Hawks,Al Horford,29,32.1,3.9
Atlanta Hawks,Kris Humphries,30,14.0,0.0
Atlanta Hawks,Kyle Korver,34,30.0,0.6
Atlanta Hawks,Shelvin Mack,25,7.5,0.1
Atlanta Hawks,Paul Millsap,30,32.7,4.1
Atlanta Hawks,Mike Muscala,24,9.4,0.2
Atlanta Hawks,Lamar Patterson,24,11.3,-0.3
Atlanta Hawks,Dennis Schröder,22,20.3,0.5
Atlanta Hawks,Mike Scott,27,15.3,0.6
Atlanta Hawks,Thabo Sefolosha,31,23.4,1.3
Atlanta Hawks,Tiago Splitter,31,16.1,0.0
Atlanta Hawks,Edy Tavares,23,6.6,0.0
Atlanta Hawks,Jeff Teague,27,28.5,1.9
Brooklyn Nets,Andrea Bargnani,30,13.8,-0.5
Brooklyn Nets,Bojan Bogdanović,26,26.8,-0.8
Brooklyn Nets,Markel Brown,24,15.8,-0.3
Brooklyn Nets,Wayne Ellington,28,21.3,-0.3
Brooklyn Nets,Rondae Hollis-Jefferson,21,21.2,0.4
Brooklyn Nets,Jarrett Jack,32,32.1,0.3
Brooklyn Nets,Joe Johnson,34,33.9,0.1
Brooklyn Nets,Sergey Karasev,22,10.0,-0.2
Brooklyn Nets,Sean Kilpatrick,26,23.2,0.0
Brooklyn Nets,Shane Larkin,23,22.4,0.0
Brooklyn Nets,Brook Lopez,27,33.7,2.1
Brooklyn Nets,Chris McCullough,20,15.1,0.0
Brooklyn Nets,Willie Reed,25,10.9,0.2
Brooklyn Nets,Thomas Robinson,24,12.9,-0.4
Brooklyn Nets,Henry Sims,25,18.8,-0.2
Brooklyn Nets,Donald Sloan,28,21.6,0.1
Brooklyn Nets,Thaddeus Young,27,33.0,1.2
Boston Celtics,Avery Bradley,25,33.4,1.2
Boston Celtics,Coty Clarke,23,2.0,0.0
Boston Celtics,Jae Crowder,25,31.6,2.5
Boston Celtics,R.J. Hunter,22,8.8,0.0
Boston Celtics,Jonas Jerebko,28,15.1,0.0
Boston Celtics,Amir Johnson,28,22.8,1.4
Boston Celtics,David Lee,32,15.7,0.7
Boston Celtics,Jordan Mickey,21,3.6,0.0
Boston Celtics,Kelly Olynyk,24,20.2,1.4
Boston Celtics,Terry Rozier,21,8.0,-0.3
Boston Celtics,Marcus Smart,21,27.3,0.4
Boston Celtics,Jared Sullinger,23,23.6,1.3
Boston Celtics,Isaiah Thomas,26,32.2,4.2
Boston Celtics,Evan Turner,27,28.0,1.1
Boston Celtics,James Young,20,6.9,-0.1
Boston Celtics,Tyler Zeller,26,11.8,-0.2
Charlotte Hornets,Nicolas Batum,27,35.0,2.0
Charlotte Hornets,Troy Daniels,24,11.1,0.3
Charlotte Hornets,P.J. Hairston,23,19.5,-0.8
Charlotte Hornets,Tyler Hansbrough,30,7.8,-0.1
Charlotte Hornets,Aaron Harrison,21,4.4,-0.1
Charlotte Hornets,Spencer Hawes,27,18.2,0.3
Charlotte Hornets,Al Jefferson,31,23.3,0.4
Charlotte Hornets,Frank Kaminsky,22,21.1,0.5
Charlotte Hornets,Michael Kidd-Gilchrist,22,29.3,0.1
Charlotte Hornets,Jeremy Lamb,23,18.6,0.9
Charlotte Hornets,Courtney Lee,30,30.2,0.6
Charlotte Hornets,Jeremy Lin,27,26.3,0.5
Charlotte Hornets,Brian Roberts,30,11.1,0.0
Charlotte Hornets,Kemba Walker,25,35.6,4.3
Charlotte Hornets,Marvin Williams,29,28.9,2.7
Charlotte Hornets,Cody Zeller,23,24.3,0.9
Charlotte Hornets,Jorge Gutiérrez,27,5.3,0.0
Chicago Bulls,Cameron Bairstow,25,5.7,-0.1
Chicago Bulls,Aaron Brooks,31,16.1,-0.2
Chicago Bulls,Jimmy Butler,26,36.9,3.9
Chicago Bulls,Mike Dunleavy,35,22.7,-0.3
Chicago Bulls,Cristiano Felício,23,10.4,0.2
Chicago Bulls,Pau Gasol,35,31.8,4.0
Chicago Bulls,Taj Gibson,30,26.5,1.0
Chicago Bulls,Doug McDermott,24,23.0,-0.4
Chicago Bulls,Nikola Mirotić,24,24.9,1.5
Chicago Bulls,E'Twaun Moore,26,21.4,0.0
Chicago Bulls,Joakim Noah,30,21.9,0.6
Chicago Bulls,Bobby Portis,20,17.8,-0.4
Chicago Bulls,Derrick Rose,27,31.8,-0.3
Chicago Bulls,Tony Snell,24,20.3,-0.6
Cleveland Cavaliers,Jared Cunningham,24,8.9,-0.4
Cleveland Cavaliers,Matthew Dellavedova,25,24.6,0.4
Cleveland Cavaliers,Channing Frye,32,17.2,0.8
Cleveland Cavaliers,Joe Harris,24,3.0,0.0
Cleveland Cavaliers,Kyrie Irving,23,31.5,1.8
Cleveland Cavaliers,LeBron James,31,35.6,7.5
Cleveland Cavaliers,Richard Jefferson,35,17.9,0.3
Cleveland Cavaliers,Dahntay Jones,35,42.0,0.0
Cleveland Cavaliers,James Jones,35,9.6,0.2
Cleveland Cavaliers,Sasha Kaun,30,3.8,0.0
Cleveland Cavaliers,Kevin Love,27,31.5,3.3
Cleveland Cavaliers,Jordan McRae,24,7.5,0.0
Cleveland Cavaliers,Timofey Mozgov,29,17.4,0.2
Cleveland Cavaliers,Iman Shumpert,25,24.4,0.1
Cleveland Cavaliers,J.R. Smith,30,30.7,1.5
Cleveland Cavaliers,Tristan Thompson,24,27.7,1.2
Cleveland Cavaliers,Anderson Varejão,33,10.0,-0.1
Cleveland Cavaliers,Mo Williams,33,18.2,0.1
Dallas Mavericks,Justin Anderson,22,11.8,0.4
Dallas Mavericks,J.J. Barea,31,22.5,0.9
Dallas Mavericks,Jeremy Evans,28,8.4,0.1
Dallas Mavericks,Raymond Felton,31,27.4,0.2
Dallas Mavericks,Devin Harris,32,20.0,0.7
Dallas Mavericks,John Jenkins,24,9.2,-0.1
Dallas Mavericks,Wesley Matthews,29,33.9,0.6
Dallas Mavericks,JaVale McGee,28,10.9,0.1
Dallas Mavericks,Salah Mejri,29,11.7,0.2
Dallas Mavericks,Dirk Nowitzki,37,31.5,2.7
Dallas Mavericks,Zaza Pachulia,31,26.4,0.9
Dallas Mavericks,Chandler Parsons,27,29.5,1.8
Dallas Mavericks,Dwight Powell,24,14.4,0.5
Dallas Mavericks,Charlie Villanueva,31,10.7,-0.1
Dallas Mavericks,Deron Williams,31,32.4,0.9
Denver Nuggets,Darrell Arthur,27,21.7,0.4
Denver Nuggets,D.J. Augustin,28,23.5,0.4
Denver Nuggets,Will Barton,25,28.7,1.7
Denver Nuggets,Kenneth Faried,26,25.3,1.0
Denver Nuggets,Randy Foye,32,19.8,-0.5
Denver Nuggets,Danilo Gallinari,27,34.7,2.2
Denver Nuggets,Erick Green,24,2.3,0.0
Denver Nuggets,Gary Harris,21,32.1,0.7
Denver Nuggets,J.J. Hickson,27,15.3,0.1
Denver Nuggets,Nikola Jokić,20,21.7,2.6
Denver Nuggets,Joffrey Lauvergne,24,17.6,0.1
Denver Nuggets,Mike Miller,35,7.9,0.0
Denver Nuggets,Emmanuel Mudiay,19,30.4,-1.2
Denver Nuggets,Jameer Nelson,33,26.6,-0.3
Denver Nuggets,Jusuf Nurkić,21,17.1,-0.1
Denver Nuggets,Kostas Papanikolaou,25,11.3,-0.2
Denver Nuggets,JaKarr Sampson,22,18.0,-1.0
Denver Nuggets,Axel Toupane,23,14.5,-0.2
Detroit Pistons,Joel Anthony,33,5.1,0.1
Detroit Pistons,Aron Baynes,29,15.2,0.6
Detroit Pistons,Steve Blake,35,17.0,-0.1
Detroit Pistons,Reggie Bullock,24,11.6,0.3
Detroit Pistons,Kentavious Caldwell-Pope,22,36.7,1.2
Detroit Pistons,Spencer Dinwiddie,22,13.3,-0.1
Detroit Pistons,Andre Drummond,22,32.9,2.0
Detroit Pistons,Justin Harper,26,7.0,0.0
Detroit Pistons,Tobias Harris,23,33.4,2.2
Detroit Pistons,Darrun Hilliard,22,10.1,0.0
Detroit Pistons,Ersan İlyasova,28,27.6,0.9
Detroit Pistons,Reggie Jackson,25,30.7,2.8
Detroit Pistons,Brandon Jennings,26,18.1,0.3
Detroit Pistons,Stanley Johnson,19,23.1,-0.5
Detroit Pistons,Jodie Meeks,28,14.3,0.0
Detroit Pistons,Marcus Morris,26,35.7,1.3
Detroit Pistons,Anthony Tolliver,30,18.6,0.8
Golden State Warriors,Leandro Barbosa,33,15.9,0.0
Golden State Warriors,Harrison Barnes,23,30.9,0.3
Golden State Warriors,Andrew Bogut,31,20.7,1.6
Golden State Warriors,Ian Clark,24,8.8,0.0
Golden State Warriors,Stephen Curry,27,34.2,9.5
Golden State Warriors,Festus Ezeli,26,16.7,0.4
Golden State Warriors,Draymond Green,25,34.7,5.3
Golden State Warriors,Andre Iguodala,32,26.6,1.4
Golden State Warriors,Shaun Livingston,30,19.5,0.9
Golden State Warriors,Kevon Looney,19,4.2,0.0
Golden State Warriors,James Michael McAdoo,23,6.4,0.0
Golden State Warriors,Brandon Rush,30,14.7,0.3
Golden State Warriors,Marreese Speights,28,11.6,-0.4
Golden State Warriors,Jason Thompson,29,6.4,0.1
Golden State Warriors,Klay Thompson,25,33.3,2.5
Houston Rockets,Trevor Ariza,30,35.3,1.7
Houston Rockets,Michael Beasley,27,18.2,0.3
Houston Rockets,Patrick Beverley,27,28.7,1.1
Houston Rockets,Corey Brewer,29,20.4,-0.4
Houston Rockets,Clint Capela,21,19.1,0.6
Houston Rockets,Sam Dekker,21,2.0,0.0
Houston Rockets,Andrew Goudelock,27,6.3,0.0
Houston Rockets,James Harden,26,38.1,6.8
Houston Rockets,Montrezl Harrell,22,9.7,0.1
Houston Rockets,Chuck Hayes,32,12.0,0.0
Houston Rockets,Dwight Howard,30,32.1,1.2
Houston Rockets,Terrence Jones,24,20.9,0.0
Houston Rockets,Ty Lawson,28,22.2,-0.6
Houston Rockets,K.J. McDaniels,22,6.4,-0.1
Houston Rockets,Donatas Motiejūnas,25,14.8,-0.3
Houston Rockets,Josh Smith,30,18.3,-0.2
Houston Rockets,Jason Terry,38,17.5,0.1
Houston Rockets,Marcus Thornton,28,18.8,0.4
Indiana Pacers,Lavoy Allen,26,20.2,0.2
Indiana Pacers,Chase Budinger,27,14.9,0.2
Indiana Pacers,Rakeem Christmas,24,6.0,0.0
Indiana Pacers,Monta Ellis,30,33.8,1.5
Indiana Pacers,Paul George,25,34.8,4.9
Indiana Pacers,George Hill,29,34.1,1.7
Indiana Pacers,Jordan Hill,28,20.7,0.5
Indiana Pacers,Solomon Hill,24,14.7,0.5
Indiana Pacers,Ian Mahinmi,29,25.6,1.4
Indiana Pacers,C.J. Miles,28,22.9,0.9
Indiana Pacers,Glenn Robinson III,22,11.3,0.1
Indiana Pacers,Rodney Stuckey,29,22.0,0.2
Indiana Pacers,Myles Turner,19,22.8,0.1
Indiana Pacers,Shayne Whittington,24,5.9,-0.1
Indiana Pacers,Joe Young,23,9.4,-0.3
Los Angeles Clippers,Cole Aldrich,27,13.3,0.9
Los Angeles Clippers,Jeff Ayres,28,6.3,-0.1
Los Angeles Clippers,Jamal Crawford,35,26.9,0.3
Los Angeles Clippers,Branden Dawson,22,4.8,0.0
Los Angeles Clippers,Jeff Green,29,26.3,0.1
Los Angeles Clippers,Blake Griffin,26,33.4,1.9
Los Angeles Clippers,Wesley Johnson,28,20.8,0.8
Los Angeles Clippers,DeAndre Jordan,27,33.7,3.2
Los Angeles Clippers,Luc Mbah a Moute,29,17.0,-0.2
Los Angeles Clippers,Chris Paul,30,32.7,6.0
Los Angeles Clippers,Paul Pierce,38,18.1,-0.4
Los Angeles Clippers,Pablo Prigioni,38,13.9,0.3
Los Angeles Clippers,J.J. Redick,31,28.0,2.2
Los Angeles Clippers,Austin Rivers,23,21.9,-0.2
Los Angeles Clippers,Lance Stephenson,25,15.8,0.3
Los Angeles Clippers,Alex Stepheson,28,3.0,0.0
Los Angeles Clippers,C.J. Wilcox,25,7.3,0.0
Los Angeles Lakers,Brandon Bass,30,20.3,0.9
Los Angeles Lakers,Tarik Black,24,12.7,-0.2
Los Angeles Lakers,Anthony Brown,23,20.7,-0.5
Los Angeles Lakers,Kobe Bryant,37,28.2,0.2
Los Angeles Lakers,Jordan Clarkson,23,32.3,0.2
Los Angeles Lakers,Roy Hibbert,29,23.2,-0.6
Los Angeles Lakers,Marcelo Huertas,32,16.4,-0.7
Los Angeles Lakers,Ryan Kelly,24,13.1,-0.2
Los Angeles Lakers,Julius Randle,21,28.2,-0.7
Los Angeles Lakers,D'Angelo Russell,19,28.2,-0.1
Los Angeles Lakers,Robert Sacre,26,12.8,-0.2
Los Angeles Lakers,Lou Williams,29,28.5,1.6
Los Angeles Lakers,Metta World Peace,36,16.9,-0.2
Los Angeles Lakers,Nick Young,30,19.1,-0.5
Memphis Grizzlies,Jordan Adams,21,7.5,0.0
Memphis Grizzlies,Tony Allen,34,25.3,0.4
Memphis Grizzlies,Chris Andersen,37,18.3,0.3
Memphis Grizzlies,Matt Barnes,35,28.8,0.6
Memphis Grizzlies,Vince Carter,39,16.8,0.3
Memphis Grizzlies,Mario Chalmers,29,22.8,1.2
Memphis Grizzlies,Mike Conley,28,31.4,2.2
Memphis Grizzlies,Bryce Cotton,23,1.2,-0.1
Memphis Grizzlies,James Ennis,25,4.0,0.3
Memphis Grizzlies,Jordan Farmar,29,24.3,0.1
Memphis Grizzlies,Marc Gasol,31,34.4,1.7
Memphis Grizzlies,JaMychal Green,25,18.5,-0.2
Memphis Grizzlies,Ryan Hollins,31,12.9,-0.2
Memphis Grizzlies,Jarell Martin,21,14.1,-0.2
