TEAM,PLAYER,AGE,VORP
Atlanta Hawks,Jaylen Adams,22,-0.2
Atlanta Hawks,Justin Anderson,25,-0.1
Atlanta Hawks,Kent Bazemore,29,-0.1
Atlanta Hawks,DeAndre' Bembry,24,-0.2
Atlanta Hawks,Vince Carter,42,0.5
Atlanta Hawks,John Collins,21,1.3
Atlanta Hawks,Deyonta Davis,22,0.0
Atlanta Hawks,Dewayne Dedmon,29,1.0
Atlanta Hawks,Tyler Dorsey,22,-0.3
Atlanta Hawks,Daniel Hamilton,23,-0.1
Atlanta Hawks,Kevin Huerter,20,-0.2
Atlanta Hawks,Isaac Humphries,21,-0.1
Atlanta Hawks,B.J. Johnson,23,0.0
Atlanta Hawks,Alex Len,25,0.3
Atlanta Hawks,Jeremy Lin,30,-0.1
Atlanta Hawks,Miles Plumlee,30,0.2
Atlanta Hawks,Alex Poythress,25,-0.1
Atlanta Hawks,Jordan Sibert,26,0.0
Atlanta Hawks,Omari Spellman,21,0.2
Atlanta Hawks,Taurean Prince,24,0.0
Atlanta Hawks,Trae Young,20,0.9
Atlanta Hawks,Tyler Zeller,29,-0.1
Brooklyn Nets,Jarrett Allen,20,1.9
Brooklyn Nets,DeMarre Carroll,32,0.2
Brooklyn Nets,Allen Crabbe,26,-0.2
Brooklyn Nets,Mitch Creek,26,0.1
Brooklyn Nets,Ed Davis,29,0.7
Brooklyn Nets,Spencer Dinwiddie,25,1.3
Brooklyn Nets,Jared Dudley,33,0.1
Brooklyn Nets,Kenneth Faried,29,0.3
Brooklyn Nets,Treveon Graham,25,-0.3
Brooklyn Nets,Joe Harris,27,1.4
Brooklyn Nets,Rondae Hollis-Jefferson,24,-0.2
Brooklyn Nets,Rodions Kurucs,20,-0.2
Brooklyn Nets,Caris LeVert,24,0.6
Brooklyn Nets,Tahjere McCall,24,0.0
Brooklyn Nets,Shabazz Napier,27,0.9
Brooklyn Nets,Theo Pinson,23,-0.1
Brooklyn Nets,D'Angelo Russell,22,3.4
Brooklyn Nets,Alan Williams,26,0.1
Boston Celtics,Aron Baynes,32,0.1
Boston Celtics,Jaylen Brown,22,0.0
Boston Celtics,PJ Dozier,22,0.0
Boston Celtics,Gordon Hayward,28,1.3
Boston Celtics,Al Horford,32,3.6
Boston Celtics,R.J. Hunter,25,0.0
Boston Celtics,Kyrie Irving,26,5.1
Boston Celtics,Greg Monroe,28,-0.1
Boston Celtics,Marcus Morris,29,0.6
Boston Celtics,Semi Ojeleye,24,-0.3
Boston Celtics,Terry Rozier,24,0.8
Boston Celtics,Marcus Smart,24,1.5
Boston Celtics,Jayson Tatum,20,1.1
Boston Celtics,Daniel Theis,26,0.5
Boston Celtics,Brad Wanamaker,29,0.1
Boston Celtics,Robert Williams,21,0.3
Boston Celtics,Guerschon Yabusele,23,0.0
Charlotte Hornets,Dwayne Bacon,23,-0.3
Charlotte Hornets,Nicolas Batum,30,1.0
Charlotte Hornets,Bismack Biyombo,26,-0.1
Charlotte Hornets,Miles Bridges,20,0.5
Charlotte Hornets,Joe Chealey,23,0.0
Charlotte Hornets,Devonte' Graham,23,-0.3
Charlotte Hornets,Frank Kaminsky,25,0.4
Charlotte Hornets,Michael Kidd-Gilchrist,25,-0.1
Charlotte Hornets,Jeremy Lamb,26,1.8
Charlotte Hornets,Shelvin Mack,28,-0.3
Charlotte Hornets,J.P. Macura,23,0.0
Charlotte Hornets,Malik Monk,20,-0.3
Charlotte Hornets,Tony Parker,36,-0.1
Charlotte Hornets,Kemba Walker,28,4.4
Charlotte Hornets,Marvin Williams,32,0.9
Charlotte Hornets,Cody Zeller,26,0.7
Charlotte Hornets,Willy Hernangómez,24,0.4
Chicago Bulls,Rawle Alkins,21,-0.2
Chicago Bulls,Ryan Arcidiacono,24,0.1
Chicago Bulls,Antonio Blakeney,22,-0.7
Chicago Bulls,Kris Dunn,24,-0.2
Chicago Bulls,Cristiano Felício,26,-0.4
Chicago Bulls,Shaquille Harrison,25,0.2
Chicago Bulls,Justin Holiday,29,0.1
Chicago Bulls,Chandler Hutchison,22,-0.4
Chicago Bulls,Zach LaVine,23,1.5
Chicago Bulls,Robin Lopez,30,0.0
Chicago Bulls,Timothé Luwawu-Cabarrot,23,-0.5
Chicago Bulls,Lauri Markkanen,21,0.7
Chicago Bulls,Jabari Parker,23,0.2
Chicago Bulls,Cameron Payne,24,-0.2
Chicago Bulls,Otto Porter,25,1.2
Chicago Bulls,Bobby Portis,23,-0.1
Chicago Bulls,Brandon Sampson,21,-0.1
Chicago Bulls,JaKarr Sampson,25,0.2
Chicago Bulls,Wayne Selden,24,-1.2
Chicago Bulls,Tyler Ulis,23,0.0
Cleveland Cavaliers,Deng Adel,21,-0.3
Cleveland Cavaliers,Jaron Blossomgame,25,-0.2
Cleveland Cavaliers,Alec Burks,27,0.3
Cleveland Cavaliers,Marquese Chriss,21,-0.7
Cleveland Cavaliers,Jordan Clarkson,26,0.8
Cleveland Cavaliers,Sam Dekker,24,0.1
Cleveland Cavaliers,Matthew Dellavedova,28,-0.5
