Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,,,,,,Atlanta,,1,,,Atlanta Hawks,,:,1,","
1028,501,V,Cleveland,28,22,13,22,85,179.5,182.5,220,93.5,,,0,V,,Boston,,2,,,Boston Celtics,,:,2,
1028,502,H,Boston,22,21,24,23,90,7,6,-260,5,,,0,H,,Brooklyn,,3,,,Brooklyn Nets,,:,3,
1028,503,V,Milwaukee,26,26,23,20,95,196,198,230,101.5,,,0,V,,Charlotte,,4,,,Charlotte Hornets,,:,4,
1028,504,H,Chicago,26,29,27,26,108,6,6,-270,3,,,0,H,,Chicago,,5,,,Chicago Bulls,,:,5,
1028,505,V,Portland,14,20,19,23,76,196.5,195,305,1,,,0,V,,Cleveland,,6,,,Cleveland Cavaliers,,:,6,
1028,506,H,LALakers,24,25,23,24,96,7,8,-370,96,,,0,H,,Dallas,,7,,,Dallas Mavericks,,:,7,
1029,701,V,Toronto,18,33,23,21,95,190,187.5,175,94,,,0,V,,Denver,,8,,,Denver Nuggets,,:,8,
1029,702,H,Philadelphia,21,24,20,19,84,5,5,-210,4.5,,,0,H,,Detroit,,9,,,Detroit Pistons,,:,9,
1029,703,V,Atlanta,26,21,27,25,99,202,202.5,310,101,,,0,V,,GoldenState,,10,,,Golden State Warriors,,:,10,
1029,704,H,Orlando,13,27,15,30,85,7.5,8,-370,8.5,,,0,H,,Houston,,11,,,Houston Rockets,,:,11,
1029,705,V,NewJersey,23,21,25,26,95,192.5,190.5,200,98,,,0,V,,Indiana,,12,,,Indiana Pacers,,:,12,
1029,706,H,Washington,23,23,21,18,85,6,5.5,-240,3,,,0,H,,LA Clippers,,13,,,Los Angeles Clippers,,:,13,
1029,707,V,Miami,27,18,30,40,115,207.5,209.5,110,3.5,,,0,V,,LAClippers,,13,,,Los Angeles Lakers,,:,14,
1029,708,H,NewYork,28,32,31,29,120,3,2,-130,105,,,0,H,,LALakers,,14,,,Memphis Grizzlies,,:,15,
1029,709,V,Indiana,17,23,24,30,94,187,188,500,93.5,,,0,V,,Memphis,,15,,,Miami Heat,,:,16,
1029,710,H,Detroit,23,27,25,25,100,10,10.5,-700,3.5,,,0,H,,Miami,,16,,,Milwaukee Bucks,,:,17,
1029,711,V,Milwaukee,24,26,29,19,98,198,200,170,98.5,,,0,V,,Milwaukee,,17,,,Minnesota Timberwolves,,:,18,
1029,712,H,OklahomaCity,14,21,24,28,87,2,4.5,-190,6,,,0,H,,Minnesota,,18,,,New Orleans Pelicans,,:,19,
1029,713,V,Sacramento,32,17,28,19,96,203,200,210,100,,,0,V,,NewJersey,,3,,,New York Knicks,,:,20,
1029,714,H,Minnesota,33,23,20,22,98,5.5,6,-250,1.5,,,0,H,,NewOrleans,,19,,,Oklahoma City Thunder,,:,21,
1029,715,V,Phoenix,19,30,25,29,103,187.5,1,-115,92.5,,,0,V,,NewYork,,20,,,Orlando Magic,,:,22,
1029,716,H,SanAntonio,16,30,27,25,98,2.5,185,-105,1,,,0,H,,Oklahoma City,,21,,,Philadelphia 76ers,,:,23,
1029,717,V,Memphis,18,19,20,14,71,191.5,192,650,95.5,,,0,V,,OklahomaCity,,21,,,Phoenix Suns,,:,24,
1029,718,H,Houston,26,17,15,24,82,12,12.5,-1000,6.5,,,0,H,,Orlando,,22,,,Portland Trail Blazers,,:,25,
1029,719,V,Denver,27,19,21,27,94,210.5,206.5,300,104.5,,,0,V,,Philadelphia,,23,,,Sacramento Kings,,:,26,
1029,720,H,Utah,28,22,25,23,98,7,8,-360,4.5,,,0,H,,Phoenix,,24,,,San Antonio Spurs,,:,27,
1029,721,V,NewOrleans,27,29,29,23,108,5,7.5,-300,5,,,0,V,,Portland,,25,,,Toronto Raptors,,:,28,
1029,722,H,GoldenState,34,23,27,19,103,207,206.5,250,103,,,0,H,,Sacramento,,26,,,Utah Jazz,,:,29,
1029,723,V,LALakers,30,29,26,32,117,8.5,10,-600,98.5,,,0,V,,SanAntonio,,27,,,Washington Wizards,,:,30,
1029,724,H,LAClippers,27,17,13,22,79,203,197.5,400,pk,,,0,H,,Toronto,,28,,,,,,,
1030,501,V,Charlotte,16,17,26,20,79,184,183,350,1,,,0,V,,Utah,,29,,,,,,,
1030,502,H,Cleveland,25,25,18,28,96,9.5,9,-500,91,,,0,H,,Washington,,30,,,,,,,
1030,503,V,Houston,32,30,23,27,112,192.5,190,145,95,,,0,V,,,,,,,'Atlanta Hawks':,,1,,
1030,504,H,Dallas,33,26,27,16,102,3.5,3.5,-165,3,,,0,H,,,,,,,'Boston Celtics':,,2,,
1030,505,V,NewOrleans,30,26,25,27,108,196,199,135,99,,,0,V,,** visitor home one dual rows,,,,,'Brooklyn Nets':,,3,,
1030,506,H,Phoenix,23,21,25,26,95,2,3,-155,5.5,,,0,H,,,,,,,'Charlotte Hornets':,,4,,
1031,701,V,GoldenState,22,28,23,23,108,205,207,240,102.5,,,0,V,,'Atlanta':,1,,,,'Chicago Bulls':,,5,,
1031,702,H,Toronto,28,23,24,21,112,7.5,6.5,-280,4,,,0,H,,'Boston':,2,,,,'Cleveland Cavaliers':,,6,,
1031,703,V,NewYork,24,24,24,15,87,217,214.5,300,105.5,,,0,V,,'Brooklyn':,3,,,,'Dallas Mavericks':,,7,,
1031,704,H,Philadelphia,31,29,31,25,116,8,8,-360,0.5,,,0,H,,'Charlotte':,4,,,,'Denver Nuggets':,,8,,
1031,705,V,Sacramento,14,17,16,30,77,205,204,240,1,,,0,V,,'Chicago':,5,,,,'Detroit Pistons':,,9,,
1031,706,H,Miami,22,27,29,25,103,5.5,6.5,-280,99,,,0,H,,'Cleveland':,6,,,,'Golden State Warriors':,,10,,
