unique_game_id,DATE,Home Team,Away Team,HOME_PRIOR_WIN_V_OPP,AWAY_PRIOR_WIN_V_OPP,HOME_IP_AVAIL,AWAY_IP_AVAIL,Home Odds Close,Away Odds Close,Home Relative Age Diff,Home All Stars,Away All Stars,Away Underdog,Underdog Win,Home FG,Home FG%,Home 3P,Home 3P%,Home FT,Home FT%,Home ORB,Home DRB,Home AST,Home STL,Home BLK,Home TOV,Home PF,Home TS%,Home eFG%,Home 3PAr,Home FTr,Home ORB%,Home DRB%,Home AST%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away FG,Away FG%,Away 3P,Away 3P%,Away FT,Away FT%,Away ORB,Away DRB,Away AST,Away STL,Away BLK,Away TOV,Away PF,Away TS%,Away eFG%,Away 3PAr,Away FTr,Away ORB%,Away DRB%,Away AST%,Away STL%,Away BLK%,Away TOV%,Away ORtg,Away DRtg,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2012-10-30_Cleveland Cavaliers_Washington Wizards,2012-10-30,Cleveland Cavaliers,Washington Wizards,0.0,0.0,0.5714285714285713,0.8571428571428572,1.4126666666666663,2.9393333333333325,-0.5,1.0,0.0,1.0,0.0,36.0,0.4560000000000002,7.0,0.3499999999999999,15.0,0.6820000000000003,18.0,36.0,22.0,7.0,5.0,20.0,21.0,0.5300000000000001,0.5,0.2530000000000001,0.278,46.20000000000001,66.70000000000002,61.100000000000016,8.0,8.599999999999998,18.4,106.90000000000003,95.5,32.0,0.3559999999999999,8.0,0.25,12.0,0.5999999999999999,18.0,21.0,26.0,11.0,10.0,12.0,19.0,0.4249999999999999,0.4000000000000001,0.3559999999999999,0.222,33.300000000000004,53.79999999999998,81.29999999999998,12.5,16.900000000000002,10.800000000000002,95.5,106.90000000000003,0.5,0.5,0.5,0.5
2012-10-30_Los Angeles Lakers_Dallas Mavericks,2012-10-30,Los Angeles Lakers,Dallas Mavericks,0.0,0.0,1.0,0.8571428571428572,1.2060000000000002,4.562,-1.0,1.0,0.0,1.0,1.0,38.0,0.4939999999999998,3.0,0.231,12.0,0.3870000000000001,15.0,31.0,24.0,6.0,5.0,14.0,21.0,0.5019999999999999,0.513,0.16899999999999998,0.4029999999999998,32.60000000000001,77.5,63.20000000000002,6.599999999999998,7.099999999999998,13.400000000000004,99.90000000000002,108.70000000000003,40.0,0.47100000000000003,5.0,0.3330000000000001,14.0,0.7780000000000002,9.0,31.0,22.0,9.0,5.0,11.0,25.0,0.5329999999999997,0.5,0.17600000000000002,0.21200000000000008,22.5,67.39999999999999,55.0,9.900000000000002,7.799999999999998,10.599999999999998,108.70000000000003,99.90000000000002,0.5,0.5,0.5,0.5
2012-10-30_Miami Heat_Boston Celtics,2012-10-30,Miami Heat,Boston Celtics,0.0,0.0,1.0,1.0,1.3459999999999999,3.284666666666667,4.5,2.0,1.0,1.0,0.0,43.0,0.5440000000000003,8.0,0.5,26.0,0.8130000000000002,5.0,31.0,25.0,8.0,5.0,8.0,20.0,0.6449999999999998,0.595,0.203,0.4050000000000002,12.800000000000002,81.6,58.100000000000016,8.5,8.099999999999998,7.900000000000002,127.0,113.20000000000003,39.0,0.5199999999999998,6.0,0.4619999999999999,23.0,0.8209999999999998,7.0,34.0,24.0,4.0,2.0,15.0,23.0,0.6129999999999998,0.5600000000000003,0.17300000000000001,0.3730000000000001,18.4,87.20000000000003,61.5,4.200000000000001,3.2000000000000006,14.699999999999996,113.20000000000003,127.0,0.5,0.5,0.5,0.5
2012-10-31_Chicago Bulls_Sacramento Kings,2012-10-31,Chicago Bulls,Sacramento Kings,0.0,0.0,1.0,0.8571428571428571,1.3535714285714284,3.2471428571428573,2.0,1.0,0.0,1.0,0.0,33.0,0.4180000000000001,2.0,0.222,25.0,0.7579999999999999,14.0,32.0,21.0,8.0,10.0,18.0,19.0,0.49700000000000005,0.43,0.11400000000000005,0.4180000000000001,32.60000000000001,74.39999999999998,63.600000000000016,8.400000000000002,14.900000000000004,16.099999999999998,98.0,91.6,34.0,0.4050000000000002,6.0,0.3529999999999999,13.0,0.8130000000000001,11.0,29.0,14.0,10.0,5.0,19.0,29.0,0.4779999999999998,0.4400000000000001,0.20199999999999999,0.19,25.6,67.39999999999999,41.2,10.5,7.099999999999999,17.300000000000004,91.6,98.0,0.5,0.5,0.5,0.5
2012-10-31_Detroit Pistons_Houston Rockets,2012-10-31,Detroit Pistons,Houston Rockets,0.0,0.0,0.7142857142857141,0.7142857142857141,1.708125,2.159375,1.5,0.0,1.0,1.0,1.0,35.0,0.44299999999999984,6.0,0.375,20.0,0.769,10.0,26.0,21.0,12.0,4.0,16.0,15.0,0.5309999999999999,0.4809999999999999,0.203,0.32899999999999985,23.300000000000008,68.39999999999999,60.0,12.699999999999998,7.700000000000002,15.0,101.5,111.0,39.0,0.4939999999999998,10.0,0.3700000000000001,17.0,0.7390000000000002,12.0,33.0,28.0,12.0,3.0,20.0,24.0,0.5890000000000002,0.5570000000000002,0.3419999999999999,0.29100000000000004,31.60000000000001,76.70000000000002,71.79999999999998,12.699999999999998,4.799999999999999,18.300000000000004,111.0,101.5,0.5,0.5,0.5,0.5
2012-10-31_Los Angeles Clippers_Memphis Grizzlies,2012-10-31,Los Angeles Clippers,Memphis Grizzlies,0.0,0.0,1.0,1.0,1.5706666666666669,2.4366666666666665,6.0,2.0,2.0,1.0,0.0,38.0,0.5140000000000001,5.0,0.3330000000000001,20.0,0.6899999999999997,8.0,31.0,25.0,12.0,9.0,22.0,27.0,0.5820000000000001,0.5469999999999999,0.203,0.3920000000000001,22.899999999999995,64.60000000000001,65.79999999999998,12.300000000000002,12.5,20.2,103.70000000000003,94.5,33.0,0.3840000000000001,2.0,0.14300000000000004,24.0,0.8000000000000002,17.0,27.0,24.0,14.0,4.0,18.0,25.0,0.4640000000000002,0.3949999999999999,0.16299999999999998,0.3490000000000001,35.39999999999999,77.1,72.70000000000002,14.400000000000004,6.799999999999998,15.400000000000004,94.5,103.70000000000003,0.5,0.5,0.5,0.5
2012-10-31_New Orleans Pelicans_San Antonio Spurs,2012-10-31,New Orleans Pelicans,San Antonio Spurs,0.0,0.0,0.8571428571428572,0.8571428571428572,3.4375,1.32125,-4.0,0.0,2.0,0.0,0.0,35.0,0.4379999999999998,4.0,0.2349999999999999,21.0,0.9129999999999999,9.0,34.0,26.0,7.0,6.0,13.0,20.0,0.527,0.463,0.21300000000000005,0.2880000000000001,21.399999999999995,77.29999999999998,74.29999999999998,7.5,10.0,12.599999999999996,101.59999999999998,105.79999999999997,38.0,0.4749999999999999,6.0,0.29999999999999993,17.0,0.654,10.0,33.0,22.0,9.0,8.0,15.0,21.0,0.5410000000000001,0.513,0.25,0.3250000000000001,22.699999999999992,78.6,57.899999999999984,9.599999999999998,12.699999999999998,14.099999999999996,105.79999999999997,101.59999999999998,0.5,0.5,0.5,0.5
2012-10-31_Philadelphia 76ers_Denver Nuggets,2012-10-31,Philadelphia 76ers,Denver Nuggets,0.0,0.0,0.8571428571428572,0.8571428571428572,2.0075000000000003,1.82,0.0,0.0,1.0,0.0,1.0,30.0,0.3529999999999999,7.0,0.2800000000000001,17.0,0.8100000000000004,14.0,33.0,18.0,13.0,11.0,15.0,14.0,0.4459999999999999,0.3940000000000001,0.29399999999999993,0.2469999999999999,26.89999999999999,67.29999999999998,60.0,14.0,15.699999999999996,13.699999999999996,90.40000000000002,80.79999999999998,33.0,0.375,4.0,0.222,5.0,0.455,16.0,38.0,19.0,9.0,5.0,20.0,22.0,0.40399999999999997,0.3979999999999999,0.20500000000000004,0.125,32.7,73.10000000000002,57.600000000000016,9.7,8.299999999999999,17.699999999999996,80.79999999999998,90.40000000000002,0.5,0.5,0.5,0.5
2012-10-31_Phoenix Suns_Golden State Warriors,2012-10-31,Phoenix Suns,Golden State Warriors,0.0,0.0,1.0,1.0,1.7318749999999998,2.126875,1.5,0.0,1.0,1.0,1.0,32.0,0.4000000000000001,4.0,0.19,17.0,0.7729999999999998,11.0,33.0,16.0,10.0,12.0,18.0,23.0,0.4740000000000002,0.4249999999999999,0.263,0.275,25.600000000000005,66.0,50.0,10.699999999999998,17.400000000000002,16.699999999999996,90.59999999999998,92.79999999999997,33.0,0.3840000000000001,5.0,0.29399999999999993,16.0,0.6959999999999998,17.0,32.0,19.0,9.0,3.0,18.0,20.0,0.4530000000000001,0.413,0.198,0.267,34.0,74.4,57.600000000000016,9.599999999999998,5.1,15.800000000000004,92.79999999999997,90.59999999999998,0.5,0.5,0.5,0.5
2012-10-31_Portland Trail Blazers_Los Angeles Lakers,2012-10-31,Portland Trail Blazers,Los Angeles Lakers,0.0,0.0,0.8571428571428572,1.0,2.1486666666666663,1.7213333333333336,-2.0,1.0,1.0,0.0,1.0,42.0,0.5060000000000001,9.0,0.4500000000000001,23.0,0.8209999999999998,10.0,20.0,19.0,10.0,5.0,12.0,20.0,0.608,0.5600000000000003,0.2410000000000001,0.337,25.0,57.100000000000016,45.20000000000001,10.699999999999998,9.3,11.199999999999998,123.70000000000003,113.09999999999997,36.0,0.5,8.0,0.444,26.0,0.8130000000000002,15.0,30.0,21.0,6.0,2.0,24.0,29.0,0.6159999999999999,0.5559999999999999,0.25,0.444,42.899999999999984,75.0,58.29999999999998,6.400000000000001,3.2000000000000006,21.800000000000008,113.09999999999997,123.70000000000003,0.5,0.0,0.5,0.0
2012-10-31_Toronto Raptors_Indiana Pacers,2012-10-31,Toronto Raptors,Indiana Pacers,0.0,0.0,0.8571428571428572,0.8571428571428572,2.0274999999999994,1.7981250000000002,1.0,0.0,3.0,0.0,0.0,33.0,0.3629999999999999,6.0,0.3529999999999999,16.0,0.8420000000000004,15.0,27.0,18.0,12.0,8.0,10.0,18.0,0.44299999999999984,0.396,0.187,0.20900000000000005,28.800000000000008,75.0,54.5,13.199999999999996,11.900000000000004,9.099999999999998,96.59999999999998,98.79999999999997,37.0,0.4740000000000002,5.0,0.455,11.0,0.6880000000000001,9.0,37.0,22.0,3.0,10.0,18.0,16.0,0.529,0.5060000000000001,0.141,0.20500000000000004,25.0,71.20000000000002,59.5,3.299999999999999,13.5,17.5,98.79999999999997,96.59999999999998,0.5,0.5,0.5,0.5
2012-10-31_Utah Jazz_Dallas Mavericks,2012-10-31,Utah Jazz,Dallas Mavericks,0.0,0.0,1.0,0.8571428571428572,1.2366666666666668,4.19,-1.0,0.0,0.0,1.0,0.0,38.0,0.42700000000000027,6.0,0.4290000000000001,31.0,0.7379999999999998,20.0,41.0,24.0,10.0,8.0,14.0,25.0,0.5259999999999999,0.4610000000000001,0.157,0.4720000000000002,38.5,83.70000000000002,63.20000000000002,10.0,12.699999999999998,11.5,112.5,93.59999999999998,32.0,0.3760000000000001,11.0,0.5,19.0,0.731,8.0,32.0,20.0,8.0,5.0,16.0,32.0,0.48700000000000004,0.4409999999999999,0.25899999999999995,0.306,16.300000000000004,61.5,62.5,8.0,6.700000000000002,14.199999999999996,93.59999999999998,112.5,0.5,1.0,0.5,1.0
