unique_game_id,DATE,Home Team,Away Team,HOME_PRIOR_WIN_V_OPP,AWAY_PRIOR_WIN_V_OPP,HOME_IP_AVAIL,AWAY_IP_AVAIL,Home Odds Close,Away Odds Close,Home Relative Age Diff,Home All Stars,Away All Stars,Away Underdog,Underdog Win,Home FG,Home FG%,Home 3P,Home 3P%,Home FT,Home FT%,Home ORB,Home DRB,Home AST,Home STL,Home BLK,Home TOV,Home PF,Home TS%,Home eFG%,Home 3PAr,Home FTr,Home ORB%,Home DRB%,Home AST%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away FG,Away FG%,Away 3P,Away 3P%,Away FT,Away FT%,Away ORB,Away DRB,Away AST,Away STL,Away BLK,Away TOV,Away PF,Away TS%,Away eFG%,Away 3PAr,Away FTr,Away ORB%,Away DRB%,Away AST%,Away STL%,Away BLK%,Away TOV%,Away ORtg,Away DRtg,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2008-11-03_Los Angeles Clippers_Utah Jazz,2008-11-03,Los Angeles Clippers,Utah Jazz,0.0,1.0,0.5714285714285714,0.8571428571428571,3.27,1.34,1.0,0.0,1.0,0.0,0.0,30.0,0.385,5.0,0.22699999999999998,14.0,0.609,10.0,22.0,24.0,9.0,5.0,18.0,29.0,0.44799999999999995,0.41700000000000004,0.282,0.295,21.3,61.1,80.0,9.6,8.2,17.0,84.4,125.0,37.0,0.46799999999999997,2.0,0.25,22.0,0.7859999999999999,12.0,34.0,17.0,5.0,5.0,16.0,20.0,0.537,0.48100000000000004,0.10099999999999999,0.354,30.0,82.9,45.9,5.4,7.8,14.9,105.1,100.8,0.0,1.0,0.0,1.0
2008-11-03_Orlando Magic_Chicago Bulls,2008-11-03,Orlando Magic,Chicago Bulls,0.0,0.0,0.8571428571428571,1.0,1.31,3.45,1.0,2.0,0.0,1.0,0.0,32.0,0.368,4.0,0.16,17.0,0.63,17.0,28.0,10.0,9.0,11.0,15.0,28.0,0.43,0.391,0.287,0.31,32.7,60.9,31.3,9.7,16.7,13.2,91.5,106.5,35.0,0.507,5.0,0.41700000000000004,33.0,0.75,14.0,26.0,27.0,9.0,6.0,18.0,18.0,0.611,0.5429999999999999,0.174,0.638,42.4,66.7,77.1,10.0,9.4,16.9,120.3,105.8,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
2008-11-03_Philadelphia 76ers_Sacramento Kings,2008-11-03,Philadelphia 76ers,Sacramento Kings,0.0,0.0,0.8571428571428571,0.5714285714285714,1.07,7.0,1.5,1.0,0.0,1.0,0.0,29.0,0.345,5.0,0.25,21.0,0.75,23.0,33.0,15.0,3.0,8.0,17.0,16.0,0.436,0.375,0.23800000000000002,0.33299999999999996,50.0,76.7,51.7,3.6,12.3,15.0,99.8,112.8,36.0,0.45,5.0,0.294,19.0,0.76,9.0,36.0,22.0,2.0,8.0,15.0,20.0,0.527,0.48100000000000004,0.213,0.313,23.7,76.6,61.1,2.1,10.5,14.2,101.4,103.5,0.3333333333333333,0.0,0.3333333333333333,0.0
2008-11-04_Brooklyn Nets_Phoenix Suns,2008-11-04,Brooklyn Nets,Phoenix Suns,0.0,0.0,1.0,1.0,3.4,1.32,-1.0,0.0,0.0,0.0,0.0,37.0,0.474,6.0,0.316,15.0,0.833,5.0,32.0,22.0,7.0,9.0,9.0,23.0,0.5529999999999999,0.513,0.244,0.231,15.2,71.1,59.5,7.8,15.0,9.5,105.7,94.6,38.0,0.519,6.5,0.3945,16.5,0.6855,8.0,30.5,20.0,3.5,4.0,17.0,22.0,0.591,0.5640000000000001,0.2275,0.3255,22.9,78.35,52.35,3.95,6.65,16.8,110.75,115.05,0.5,0.6666666666666666,0.5,0.6666666666666666
2008-11-10_Boston Celtics_Toronto Raptors,2008-11-10,Boston Celtics,Toronto Raptors,0.0,0.0,1.0,0.5714285714285714,1.24,4.3,2.0,4.0,1.0,1.0,0.0,36.5,0.4825,3.0,0.232,20.5,0.6795,12.0,29.0,18.5,10.0,2.5,16.0,26.0,0.5425,0.5025000000000001,0.1725,0.405,29.15,72.3,50.5,10.9,3.95,15.25,105.35,100.45,36.0,0.444,10.0,0.625,13.0,0.765,10.0,23.0,24.0,8.0,5.0,9.0,23.0,0.537,0.506,0.198,0.21,23.3,50.0,66.7,9.5,7.8,9.2,112.8,99.8,0.8571428571428571,0.6666666666666666,0.8,0.6
2008-11-10_Indiana Pacers_Oklahoma City Thunder,2008-11-10,Indiana Pacers,Oklahoma City Thunder,0.0,0.0,0.8571428571428571,0.5714285714285714,1.12,7.0,3.0,1.0,1.0,1.0,0.0,33.0,0.493,4.0,0.33299999999999996,24.0,0.828,5.0,33.0,18.0,7.0,8.0,21.0,20.0,0.589,0.522,0.179,0.433,15.6,70.2,54.5,7.4,10.3,20.8,99.4,105.8,32.0,0.43799999999999994,1.0,0.16699999999999998,22.0,0.71,13.0,22.0,16.0,9.0,3.0,19.0,23.0,0.502,0.445,0.08199999999999999,0.425,31.0,61.1,50.0,10.0,5.2,18.0,97.1,109.4,0.4,0.16666666666666666,0.4,0.2
2008-11-10_Miami Heat_Brooklyn Nets,2008-11-10,Miami Heat,Brooklyn Nets,0.0,0.0,0.8571428571428571,0.7142857142857143,1.21,4.3,2.0,1.0,0.0,1.0,0.0,42.0,0.457,6.0,0.261,25.0,0.758,13.0,34.0,22.0,8.0,2.0,14.0,26.0,0.54,0.489,0.25,0.359,28.9,70.8,52.4,7.7,3.2,11.6,111.4,116.2,32.5,0.4055,6.5,0.317,19.0,0.8590000000000001,8.5,27.5,19.0,8.5,6.5,12.0,20.5,0.504,0.4465,0.2545,0.272,20.1,78.15,58.3,9.3,11.5,11.6,99.1,108.6,0.5,0.4,0.6,0.4
2008-11-10_Orlando Magic_Portland Trail Blazers,2008-11-10,Orlando Magic,Portland Trail Blazers,0.0,0.0,0.8571428571428571,1.0,1.32,3.32,2.0,2.0,1.0,1.0,1.0,32.5,0.3905,6.5,0.2465,19.0,0.6535,16.5,30.5,13.0,10.5,9.5,17.0,23.5,0.4715,0.43,0.3125,0.349,32.05,67.95,39.9,11.05,13.85,15.05,95.5,101.45,29.0,0.345,10.0,0.41700000000000004,8.0,0.5710000000000001,13.0,31.0,19.0,8.0,3.0,12.0,17.0,0.42100000000000004,0.405,0.28600000000000003,0.16699999999999998,24.5,77.5,65.5,9.0,4.3,11.7,85.3,107.7,0.6666666666666666,0.5,0.8,0.6
2008-11-10_Phoenix Suns_Memphis Grizzlies,2008-11-10,Phoenix Suns,Memphis Grizzlies,0.0,0.0,0.8571428571428571,0.7142857142857143,1.1,6.6,2.5,0.0,0.0,1.0,0.0,39.66666666666666,0.5566666666666666,8.333333333333334,0.4853333333333333,16.333333333333332,0.6890000000000001,6.666666666666668,32.333333333333336,23.66666666666667,4.666666666666667,5.666666666666668,17.666666666666668,21.0,0.6373333333333333,0.6163333333333334,0.24,0.3296666666666667,20.2,77.23333333333333,58.93333333333334,5.133333333333334,9.366666666666667,17.733333333333334,114.7,107.53333333333336,33.5,0.4225,2.0,0.222,11.5,0.6795,13.0,35.0,16.5,7.0,5.5,15.5,18.5,0.4625,0.435,0.1375,0.2145,28.75,71.75,48.3,7.949999999999998,8.3,15.15,91.1,91.45,0.7142857142857143,0.42857142857142855,0.8,0.4
2008-11-11_Cleveland Cavaliers_Milwaukee Bucks,2008-11-11,Cleveland Cavaliers,Milwaukee Bucks,0.0,0.0,1.0,0.8571428571428571,1.08,7.4,-4.0,1.0,0.0,1.0,0.0,33.0,0.4516666666666666,5.0,0.2916666666666667,22.66666666666667,0.7210000000000001,13.0,33.333333333333336,19.33333333333333,8.666666666666666,6.333333333333332,15.333333333333336,24.0,0.5393333333333333,0.4863333333333333,0.23466666666666666,0.4310000000000001,34.6,75.33333333333333,58.4,10.033333333333333,10.566666666666666,15.0,108.43333333333334,95.90000000000002,36.0,0.4675,6.5,0.409,18.0,0.7789999999999999,13.5,24.0,19.0,6.0,3.5,19.0,26.0,0.5535000000000001,0.51,0.20800000000000002,0.29900000000000004,36.1,63.3,52.7,6.699999999999998,5.65,17.95,107.6,108.7,0.7142857142857143,0.42857142857142855,0.8,0.4
