unique_game_id,DATE,Home Team,Away Team,HOME_PRIOR_WIN_V_OPP,AWAY_PRIOR_WIN_V_OPP,HOME_IP_AVAIL,AWAY_IP_AVAIL,Home Odds Close,Away Odds Close,Home Relative Age Diff,Home All Stars,Away All Stars,Away Underdog,Underdog Win,Home FG,Home FG%,Home 3P,Home 3P%,Home FT,Home FT%,Home ORB,Home DRB,Home AST,Home STL,Home BLK,Home TOV,Home PF,Home TS%,Home eFG%,Home 3PAr,Home FTr,Home ORB%,Home DRB%,Home AST%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away FG,Away FG%,Away 3P,Away 3P%,Away FT,Away FT%,Away ORB,Away DRB,Away AST,Away STL,Away BLK,Away TOV,Away PF,Away TS%,Away eFG%,Away 3PAr,Away FTr,Away ORB%,Away DRB%,Away AST%,Away STL%,Away BLK%,Away TOV%,Away ORtg,Away DRtg,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT,Home Team Cut_offensive,Away Team Cut_offensive,Home Team Handoff_defensive,Away Team Handoff_defensive,Home Team Handoff_offensive,Away Team Handoff_offensive,Home Team Isolation_defensive,Away Team Isolation_defensive,Home Team Isolation_offensive,Away Team Isolation_offensive,Home Team Misc_offensive,Away Team Misc_offensive,Home Team OffScreen_defensive,Away Team OffScreen_defensive,Home Team OffScreen_offensive,Away Team OffScreen_offensive,Home Team PnRBH_defensive,Away Team PnRBH_defensive,Home Team PnRBH_offensive,Away Team PnRBH_offensive,Home Team PnRRM_defensive,Away Team PnRRM_defensive,Home Team PnRRM_offensive,Away Team PnRRM_offensive,Home Team Postup_defensive,Away Team Postup_defensive,Home Team Postup_offensive,Away Team Postup_offensive,Home Team Putbacks_defensive,Away Team Putbacks_defensive,Home Team Putbacks_offensive,Away Team Putbacks_offensive,Home Team Spotup_defensive,Away Team Spotup_defensive,Home Team Spotup_offensive,Away Team Spotup_offensive,Home Team Transition_defensive,Away Team Transition_defensive,Home Team Transition_offensive,Away Team Transition_offensive
2018-10-19_Memphis Grizzlies_Atlanta Hawks,2018-10-19,Memphis Grizzlies,Atlanta Hawks,0.0,0.0,0.7142857142857142,0.5714285714285713,1.346,3.3415,2.5,1.0,0.0,1.0,0.0,25.0,0.298,10.0,0.34499999999999986,23.0,0.821,7.0,21.0,16.0,11.0,3.0,7.0,18.0,0.431,0.3570000000000001,0.34499999999999986,0.3330000000000001,13.699999999999996,61.79999999999998,64.0,11.800000000000004,5.299999999999999,6.799999999999999,88.79999999999997,118.7,41.0,0.4560000000000001,10.0,0.2780000000000001,15.0,0.833,7.0,38.0,19.0,7.0,3.0,24.0,30.0,0.546,0.5109999999999999,0.4000000000000001,0.20000000000000004,16.300000000000004,79.20000000000002,46.29999999999998,6.200000000000002,4.5,19.7,94.29999999999997,111.0,0.0,0.0,0.0,0.0,0.034,0.31,0.069,0.10300000000000001,0.483,0.759,0.69,0.9309999999999999,0.517,0.828,0.0,0.586,0.069,0.0,0.31,0.517,0.24100000000000002,0.0,0.552,0.034,0.138,0.897,0.276,0.44799999999999995,0.69,0.069,0.034,0.0,0.862,0.414,0.552,0.345,0.31,0.586,0.069,0.138,0.414,0.862,0.172,0.44799999999999995
2018-10-19_Minnesota Timberwolves_Cleveland Cavaliers,2018-10-19,Minnesota Timberwolves,Cleveland Cavaliers,0.0,0.0,0.8571428571428573,1.0,1.259,4.025,2.0,2.0,0.0,1.0,0.0,39.0,0.4290000000000001,6.0,0.31599999999999995,24.0,0.8889999999999997,14.0,32.0,20.0,9.0,2.0,11.0,27.0,0.5250000000000001,0.4619999999999999,0.209,0.29699999999999993,29.8,62.70000000000002,51.29999999999998,9.400000000000002,2.899999999999999,9.699999999999998,112.70000000000002,116.8,34.0,0.4000000000000001,7.0,0.3680000000000001,29.0,0.7439999999999999,14.0,35.0,17.0,4.0,0.0,16.0,25.0,0.5090000000000001,0.441,0.2240000000000001,0.4589999999999998,28.60000000000001,81.40000000000002,50.0,4.0,0.0,13.5,103.70000000000002,115.59999999999997,0.0,0.0,0.0,0.0,0.7240000000000001,1.0,0.414,0.207,0.862,0.034,0.31,0.0,0.483,0.7240000000000001,1.0,0.552,0.379,0.7929999999999999,0.759,0.966,0.44799999999999995,0.586,0.621,0.862,0.345,0.0,0.7240000000000001,0.9309999999999999,0.586,0.483,1.0,0.897,0.10300000000000001,0.31,0.9309999999999999,0.207,0.517,0.10300000000000001,0.759,1.0,0.31,0.345,0.7240000000000001,0.7929999999999999
2018-10-19_New Orleans Pelicans_Sacramento Kings,2018-10-19,New Orleans Pelicans,Sacramento Kings,0.0,0.0,0.8571428571428573,0.8571428571428573,1.122,6.6765,1.0,1.0,0.0,1.0,0.0,52.0,0.531,10.0,0.4000000000000001,17.0,0.7729999999999998,14.0,40.0,36.0,8.0,3.0,12.0,25.0,0.6080000000000001,0.5820000000000002,0.25499999999999995,0.2240000000000001,32.60000000000001,83.29999999999998,69.20000000000002,7.8,6.799999999999999,10.0,127.2,108.79999999999998,49.0,0.516,7.0,0.3680000000000001,12.0,0.6669999999999999,5.0,32.0,17.0,8.0,3.0,9.0,27.0,0.5679999999999998,0.5530000000000002,0.20000000000000004,0.18900000000000008,11.400000000000004,86.5,34.7,7.599999999999998,5.799999999999998,8.0,110.70000000000002,116.40000000000003,1.0,0.0,1.0,0.0,0.897,0.138,0.9309999999999999,0.034,1.0,0.552,0.483,0.7929999999999999,0.44799999999999995,0.621,0.966,0.10300000000000001,0.655,0.10300000000000001,0.069,0.0,0.897,0.10300000000000001,0.517,0.069,0.586,0.44799999999999995,0.897,0.034,0.172,0.138,0.621,0.138,0.483,0.7240000000000001,1.0,0.138,0.44799999999999995,0.207,0.621,0.31,0.24100000000000002,0.276,0.345,0.69
2018-10-20_Denver Nuggets_Phoenix Suns,2018-10-20,Denver Nuggets,Phoenix Suns,0.0,0.0,1.0,0.8571428571428573,1.168,5.4105,-2.0,1.0,0.0,1.0,0.0,33.0,0.37899999999999984,8.0,0.3330000000000001,33.0,0.7859999999999997,14.0,42.0,20.0,6.0,9.0,10.0,22.0,0.5069999999999999,0.4249999999999999,0.2759999999999999,0.483,26.89999999999999,82.40000000000002,60.6,6.099999999999998,15.0,8.7,108.20000000000003,99.09999999999997,44.0,0.5429999999999999,19.0,0.5589999999999999,14.0,0.875,6.0,38.0,35.0,5.0,2.0,11.0,22.0,0.6869999999999998,0.66,0.42,0.198,17.6,79.20000000000002,79.5,5.400000000000002,3.6,11.099999999999996,130.59999999999997,108.0,1.0,1.0,1.0,1.0,0.552,0.759,0.897,0.138,0.7929999999999999,0.207,0.379,0.276,0.034,0.138,0.621,0.034,0.172,0.138,0.828,0.379,0.172,0.138,0.655,0.207,0.517,0.862,0.414,0.552,0.379,0.034,0.69,0.24100000000000002,1.0,0.897,0.44799999999999995,0.31,0.069,0.24100000000000002,0.828,0.0,0.034,0.10300000000000001,0.621,0.10300000000000001
2018-10-20_Indiana Pacers_Brooklyn Nets,2018-10-20,Indiana Pacers,Brooklyn Nets,0.0,0.0,0.8571428571428573,0.8571428571428573,1.254,4.0710000000000015,-1.0,0.0,1.0,1.0,0.0,42.5,0.5015000000000001,8.0,0.359,13.0,0.621,11.0,38.0,21.5,4.5,5.0,18.5,24.5,0.5684999999999999,0.5489999999999999,0.25999999999999995,0.23349999999999996,28.50000000000001,80.35,49.25,4.4,9.55,16.549999999999994,107.45000000000002,100.6,38.5,0.4905,8.5,0.2925000000000001,18.0,0.7785000000000002,8.5,38.5,25.0,5.5,5.5,19.5,23.0,0.585,0.5455000000000001,0.3645,0.29400000000000004,23.4,74.5,64.75,5.550000000000002,8.05,18.05,107.04999999999998,107.5,0.5,0.5,0.5,0.5,0.0,0.069,0.621,0.345,0.966,0.24100000000000002,0.862,0.10300000000000001,0.379,0.655,0.69,0.517,0.828,0.207,0.24100000000000002,0.586,0.7240000000000001,0.069,0.7240000000000001,0.31,0.552,0.207,0.138,0.586,0.621,0.24100000000000002,0.655,0.345,0.0,0.828,0.276,0.379,0.276,0.0,0.655,0.9309999999999999,0.828,0.966,0.862,0.0
2018-10-20_New York Knicks_Boston Celtics,2018-10-20,New York Knicks,Boston Celtics,0.0,0.0,0.4285714285714287,0.8571428571428573,4.7845,1.1999999999999995,-1.5,0.0,2.0,0.0,0.0,42.0,0.4285,10.5,0.3424999999999999,21.0,0.8370000000000002,11.0,30.0,17.5,11.0,3.5,9.0,21.0,0.5275000000000001,0.4815000000000001,0.311,0.25949999999999995,21.300000000000004,75.20000000000002,41.3,10.649999999999997,6.649999999999999,7.3000000000000025,111.5,104.19999999999996,41.0,0.4185,12.5,0.34299999999999997,8.5,0.7070000000000001,14.0,38.0,25.0,5.5,5.5,14.0,23.5,0.4985,0.4824999999999999,0.3725,0.12250000000000005,26.40000000000001,80.54999999999998,61.25,5.4,9.35,11.900000000000004,102.0,99.5,0.5,0.5,0.5,0.5,0.655,0.24100000000000002,0.759,0.7240000000000001,0.655,0.31,1.0,0.44799999999999995,0.10300000000000001,0.862,0.069,0.24100000000000002,0.483,0.862,0.414,0.897,0.517,0.966,0.138,0.759,0.24100000000000002,0.621,0.483,0.379,0.7240000000000001,0.414,0.759,0.207,0.138,0.7929999999999999,0.621,0.172,0.172,1.0,0.172,0.897,0.552,0.897,0.414,0.207
2018-10-20_Philadelphia 76ers_Orlando Magic,2018-10-20,Philadelphia 76ers,Orlando Magic,0.0,0.0,0.5714285714285713,0.8571428571428573,1.075,9.1305,-2.0,2.0,1.0,1.0,0.0,39.0,0.43200000000000005,8.5,0.2625000000000001,20.5,0.7545,8.5,42.5,24.0,9.0,6.5,14.5,18.5,0.5230000000000001,0.479,0.3430000000000001,0.2935000000000001,18.299999999999994,83.6,60.55,8.45,10.050000000000002,12.5,100.3,100.15,37.5,0.399,6.5,0.23700000000000004,14.5,0.6635,13.0,34.5,19.0,7.5,7.0,13.5,20.5,0.461,0.4335,0.29800000000000004,0.2395,24.35,72.60000000000002,50.64999999999999,7.35,11.950000000000005,11.5,93.85000000000002,108.29999999999998,0.5,0.5,0.5,0.5,0.828,0.44799999999999995,0.69,0.379,0.517,0.069,0.552,0.517,0.069,0.414,0.655,0.379,0.517,0.276,0.483,0.172,0.483,0.345,0.586,0.345,1.0,0.276,0.069,0.172,0.345,0.44799999999999995,0.586,0.069,0.621,0.9309999999999999,0.655,0.24100000000000002,0.966,0.897,0.379,0.517,0.9309999999999999,0.172,0.31,0.483
2018-10-21_Cleveland Cavaliers_Atlanta Hawks,2018-10-21,Cleveland Cavaliers,Atlanta Hawks,0.0,0.0,0.7142857142857142,0.5714285714285713,1.2645000000000002,3.9595,2.0,0.0,0.0,1.0,1.0,39.5,0.4420000000000001,7.5,0.358,27.0,0.8029999999999999,13.5,32.5,21.5,4.5,1.0,15.0,24.5,0.5455000000000001,0.484,0.2355,0.3855,29.050000000000004,79.15000000000002,53.89999999999999,4.4,1.6000000000000003,12.599999999999998,111.35,121.14999999999998,41.0,0.475,12.0,0.3725,18.0,0.708,9.0,33.5,23.0,8.0,4.0,21.5,30.5,0.5690000000000002,0.5444999999999999,0.3805,0.3170000000000001,20.35,79.9,56.1,7.350000000000001,6.799999999999999,17.9,102.35,117.29999999999998,0.0,0.0,0.0,0.0,1.0,0.31,0.207,0.10300000000000001,0.034,0.759,0.0,0.9309999999999999,0.7240000000000001,0.828,0.552,0.586,0.7929999999999999,0.0,0.966,0.517,0.586,0.0,0.862,0.034,0.0,0.897,0.9309999999999999,0.44799999999999995,0.483,0.069,0.897,0.0,0.31,0.414,0.207,0.345,0.10300000000000001,0.586,1.0,0.138,0.345,0.862,0.7929999999999999,0.44799999999999995
2018-10-21_Denver Nuggets_Golden State Warriors,2018-10-21,Denver Nuggets,Golden State Warriors,0.0,0.0,1.0,0.8571428571428573,2.668,1.4994999999999998,-5.0,1.0,2.0,0.0,1.0,38.0,0.4425,8.5,0.327,28.5,0.8069999999999997,11.5,43.5,24.0,9.0,7.5,14.0,26.5,0.5579999999999999,0.4919999999999999,0.3024999999999999,0.412,25.0,82.1,62.85,8.899999999999997,15.400000000000002,12.1,112.20000000000002,93.94999999999996,45.5,0.5025000000000001,8.5,0.3975,16.5,0.9165,12.5,38.0,27.5,8.5,6.5,18.5,26.0,0.5890000000000002,0.55,0.24600000000000005,0.198,29.599999999999994,74.85,60.90000000000001,8.249999999999998,13.5,15.65,112.95,108.55000000000004,1.0,1.0,1.0,1.0,0.552,0.9309999999999999,0.897,0.7929999999999999,0.7929999999999999,0.379,0.379,0.621,0.034,0.897,0.621,0.31,0.172,0.897,0.828,1.0,0.172,0.7929999999999999,0.655,1.0,0.517,0.31,0.414,0.69,0.379,0.862,0.69,0.414,1.0,0.759,0.44799999999999995,0.069,0.069,0.655,0.828,0.7929999999999999,0.034,0.517,0.621,0.9309999999999999
2018-10-21_Oklahoma City Thunder_Sacramento Kings,2018-10-21,Oklahoma City Thunder,Sacramento Kings,0.0,0.0,0.7142857142857142,0.8571428571428573,1.1375,6.227500000000001,0.0,2.0,0.0,1.0,1.0,33.5,0.3604999999999998,8.5,0.24100000000000002,20.5,0.6940000000000004,15.5,33.0,19.5,8.5,5.0,13.0,25.0,0.452,0.4065,0.3770000000000001,0.3245,28.20000000000001,70.85000000000002,58.25,8.399999999999997,8.0,10.849999999999998,95.65,107.69999999999996,49.5,0.5185000000000001,8.5,0.3840000000000001,15.5,0.6990000000000001,7.0,31.0,20.5,7.0,2.5,11.0,26.5,0.5839999999999999,0.5630000000000002,0.23,0.23000000000000004,14.9,78.95,41.35,6.5,4.449999999999998,9.400000000000002,113.30000000000004,125.15000000000003,0.0,0.0,0.0,0.0,0.517,0.138,1.0,0.034,0.0,0.552,0.966,0.7929999999999999,0.207,0.621,0.276,0.10300000000000001,0.31,0.10300000000000001,0.9309999999999999,0.0,1.0,0.10300000000000001,0.69,0.069,0.7929999999999999,0.44799999999999995,0.828,0.034,0.7929999999999999,0.138,0.7240000000000001,0.138,0.034,0.7240000000000001,0.0,0.138,0.759,0.207,0.44799999999999995,0.31,0.138,0.276,0.517,0.69
